ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001415889-24-018514	/s/ Eric Jensen, Attorney-in-Fact	28-JUN-2024
0001250853-24-000009	/s/ Roy Choi	28-JUN-2024
0001250853-24-000009	/s/ Roy Choi, Managing Member of Knighted Pastures LLC	28-JUN-2024
0001610717-24-000380	/s/ Joshua Pinto	28-JUN-2024
0001415889-24-018512	/s/ Daniel E. Smith, Senior Vice President, General Counsel & Corporate Secretary of CTO Realty Growth, Inc.	28-JUN-2024
0000950170-24-079190	/s/ Taylor Monnig	28-JUN-2024
0001628280-24-030527	/s/ Jennie Howard, as attorney-in-fact	28-JUN-2024
0001225208-24-007040	/s/ Matthew J. Cox	28-JUN-2024
0001493152-24-025686	/s/ Bradford K. Amman	28-JUN-2024
0001493152-24-025690	/s/ Bradford K. Amman as attorney-in-fact for Mark F. Lindsay	28-JUN-2024
0001493152-24-025691	/s/ Bradford K. Amman as attorney-in-fact for Leonard J. Sokolow	28-JUN-2024
0001493152-24-025687	/s/ Bradford K. Amman as attorney-in-fact for Ralph Elias Green	28-JUN-2024
0001493152-24-025689	/s/ Bradford K. Amman as attorney-in-fact for Anja B. Krammer	28-JUN-2024
0001493152-24-025688	/s/ Bradford K. Amman as attorney-in-fact for Ronald Kirk Huntsman	28-JUN-2024
0001493152-24-025692	/s/ Bradford K. Amman as attorney-in-fact for Matthew Thompson	28-JUN-2024
0001104659-24-076443	TOTALENERGIES SE By: /s/ Marine Delaitre Name: Marine Delaitre Title: Authorized Signatory	28-JUN-2024
0001104659-24-076443	TOTALENERGIES GESTION USA SARL By: /s/ Eric Bozec Name: Eric Bozec Title: General Manager	28-JUN-2024
0001104659-24-076443	TOTALENERGIES RENEWABLES USA, LLC By: /s/ Richard Frazier Name: Richard Frazier Title: Secretary	28-JUN-2024
0001104659-24-076443	TOTALENERGIES DELAWARE, INC. By: /s/ Richard Frazier Name: Richard Frazier Title: Secretary	28-JUN-2024
0001104659-24-076443	TOTALENERGIES HOLDINGS USA, INC. By: /s/ Richard Frazier Name: Richard Frazier Title: Assistant Secretary	28-JUN-2024
0000907242-24-000004	John Farahi	28-JUN-2024
0001493152-24-025678	/s/ Susan Windham-Bannister	27-JUN-2024
0001493152-24-025677	/s/ John Hamilton	27-JUN-2024
0001415889-24-018511	/s/ Sean Renfroe, by Power of Attorney	28-JUN-2024
0000950170-24-079183	/s/ Ed Kirnbauer, Attorney in Fact	28-JUN-2024
0001857816-24-000168	/s/ Matthew C. Bonner, attorney-in-fact for DCM International IV, Ltd.	28-JUN-2024
0001857816-24-000168	/s/ Matthew C. Bonner, attorney-in-fact for DCM International IX, Ltd.	28-JUN-2024
0001857816-24-000168	/s/ Matthew C. Bonner, attorney-in-fact for DCM IV, L.P.	28-JUN-2024
0001857816-24-000168	/s/ Matthew C. Bonner	28-JUN-2024
0001857816-24-000168	/s/ Matthew C. Bonner, attorney-in-fact for Frank Hurst Lin	28-JUN-2024
0001857816-24-000168	/s/ Matthew C. Bonner, attorney-in-fact for DCM Investment Management IV, L.P.	28-JUN-2024
0001857816-24-000168	/s/ Matthew C. Bonner, attorney-in-fact for DCM Affiliates Fund IV, L.P.	28-JUN-2024
0001857816-24-000168	/s/ Matthew C. Bonner, attorney-in-fact for DCM IX, L.P.	28-JUN-2024
0001857816-24-000168	/s/ Matthew C. Bonner, attorney-in-fact for DCM Affiliates Fund IX, L.P.	28-JUN-2024
0001857816-24-000168	/s/ Matthew C. Bonner, attorney-in-fact for DCM Investment Management IX, L.P.	28-JUN-2024
0001104659-24-076442	/s/ James F. Oliviero, III	28-JUN-2024
0001415889-24-018510	/s/ Edward T. Lee, Attorney-in-Fact	28-JUN-2024
0001415889-24-018509	/s/ Edward T. Lee, Attorney-in-Fact	28-JUN-2024
0001415889-24-018508	/s/ Edward T. Lee, Attorney-in-Fact	28-JUN-2024
0001104659-24-076441	/s/ Garrett Gray	28-JUN-2024
0001415889-24-018507	/s/ Edward T. Lee, Attorney-in-Fact	28-JUN-2024
0001415889-24-018506	/s/ Edward T. Lee, Attorney-in-Fact	28-JUN-2024
0001415889-24-018505	/s/ Edward T. Lee, Attorney-in-Fact	28-JUN-2024
0001415889-24-018504	/s/ Edward T. Lee, Attorney-in-Fact	28-JUN-2024
0001140361-24-031815	/s/ Christoph Appel Attorney-in-fact	28-JUN-2024
0001140361-24-031815	/s/ Christoph Appel Attorney-in-fact	28-JUN-2024
0001140361-24-031815	/s/ Christoph Appel Attorney-in-fact	28-JUN-2024
0001140361-24-031815	/s/ Christoph Appel Attorney-in-fact	28-JUN-2024
0001127602-24-019428	/s/ Sarah Dale, Attorney-in-Fact for Parker Harris	28-JUN-2024
0001493152-24-025674	/s/ Hasan Jafri	27-JUN-2024
0001493152-24-025672	/s/ Eric Patzer	28-JUN-2024
0001280263-24-000034	By: /s/ Michael Morehead, Attorney-in-Fact For: David Jeffrey Richardson	28-JUN-2024
0001493152-24-025670	/s/ Vu L. Truong	28-JUN-2024
0001185185-24-000665	/s/ Tom Kubota	28-JUN-2024
0001213900-24-057361	/s/ Trent Whitehead	28-JUN-2024
0001676238-24-000124	/s/ Nathan Jeffries, Attorney-in-Fact	28-JUN-2024
0001127602-24-019426	/s/ Cheryl Grant, attorney-in-fact	28-JUN-2024
0001676238-24-000122	/s/ Nathan Jeffries, Attorney-in-Fact	28-JUN-2024
0001676238-24-000120	/s/ Nathan Jeffries, Attorney-in-Fact	28-JUN-2024
0001676238-24-000118	/s/ Nathan Jeffries, Attorney-in-Fact	28-JUN-2024
0001750219-24-000029	DENNIS CHANG	28-JUN-2024
0001676238-24-000116	/s/ Nathan Jeffries, Attorney-in-Fact	28-JUN-2024
0001676238-24-000114	/s/ Nathan Jeffries, Attorney-in-Fact	28-JUN-2024
0001628280-24-030524	/s/ Uyen Nguyen, Attorney-in-Fact	28-JUN-2024
0001628280-24-030523	/s/ Uyen Nguyen, Attorney-in-Fact	28-JUN-2024
0001225208-24-007038	Elizabeth D. Tice Attorney-in-Fact	28-JUN-2024
0000950170-24-079172	Noubar B. Afeyan, Ph.D. By: /s/ Noubar B. Afeyan, Ph.D.	28-JUN-2024
0001562180-24-005370	/s/ James Bramble, attorney-in-fact for Glenn Darrel Sanford	28-JUN-2024
0001415889-24-018496	/s/ John Dunn, Esq., Attorney-in-Fact	28-JUN-2024
0001934737-24-000029	KEVIN WILLIAMS	28-JUN-2024
0000950170-24-079169	/s/ Scott A. Samuels for Robert J. Spiegel	28-JUN-2024
0001493152-24-025666	Opaleye Management Inc., By: /s/ James Silverman, President	28-JUN-2024
0000950170-24-079167	/s/ Shailini Rao, Attorney-in-Fact	28-JUN-2024
0001628280-24-030522	/s/ Kevin Whitman, Attorney-in-Fact for Richard Dilorio	28-JUN-2024
0001559432-24-000034	/s/ Brent W. Clum, Attorney-in-fact	28-JUN-2024
0001559432-24-000033	/s/ Brent W. Clum, Attorney-in-fact	28-JUN-2024
0001415889-24-018495	/s/ Timothy Huffmyer, by power of attorney	28-JUN-2024
0001415889-24-018493	/s/ Timothy Huffmyer, by power of attorney	28-JUN-2024
0001415889-24-018491	/s/ Timothy Huffmyer, by power of attorney	28-JUN-2024
0001415889-24-018489	/s/ Timothy Huffmyer, by power of attorney	28-JUN-2024
0001104659-24-076427	GIP III ZEPHYR ACQUISITION PARTNERS, L.P. By: Zephyr Holdings GP, LLC, its general partner By: /s/ Gregg Myers Name: Gregg Myers Title: Chief Financial Officer	28-JUN-2024
0001104659-24-076427	CLEARWAY ENERGY GROUP LLC By: /s/ Alicia Stevenson Name: Alicia Stevenson Title: VP, Business Operations & Strategy	28-JUN-2024
0001104659-24-076427	ZEPHYR HOLDINGS GP, LLC By: /s/ Jonathan Bram Name: Jonathan Bram Title: Officer	28-JUN-2024
0001104659-24-076427	GIP III ZEPHYR MIDCO HOLDINGS, L.P. By: Global Infrastructure GP III, L.P., its general partner By: Global Infrastructure Investors III, LLC, its general partner By: /s/ Gregg Myers Name: Gregg Myers Title: Chief Financial Officer	28-JUN-2024
0001104659-24-076427	GLOBAL INFRASTRUCTURE GP III, L.P. By: Global Infrastructure Investors III, LLC, its general partner By: /s/ Gregg Myers Name: Gregg Myers Title: Chief Financial Officer	28-JUN-2024
0001104659-24-076427	GLOBAL INFRASTRUCTURE INVESTORS III, LLC By: /s/ Jonathan Bram Name: Jonathan Bram Title: President	28-JUN-2024
0001127602-24-019424	/s/ Paul S. Walsh	28-JUN-2024
0001415889-24-018487	/s/ Timothy Huffmyer, by power of attorney	28-JUN-2024
0001585521-24-000132	/s/ Aparna Bawa, Attorney-in-Fact	28-JUN-2024
0001415889-24-018485	/s/ Timothy Huffmyer, by power of attorney	28-JUN-2024
0001583708-24-000053	/s/ Keenan Conder, Attorney-in-Fact	28-JUN-2024
0001583708-24-000050	/s/ Keenan Conder, Attorney-in-Fact	28-JUN-2024
0001213900-24-057331	/s/ Tricia McDermott, Attorney-in-Fact	28-JUN-2024
0001583708-24-000048	/s/ Keenan Conder, Attorney-in-Fact	28-JUN-2024
0001415889-24-018483	/s/ Rajeev Shah, individually	28-JUN-2024
