ACCESSION_NUMBER	NONDERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000950170-24-038822	7975190	Common Stock		15-NOV-2022				4	S	false	F1			200.0		21.97		D		1038141.0				D			
0000950170-24-038822	7975191	Common Stock		15-NOV-2022				4	S	false	F1			1700.0		24.02	F4	D		1036441.0				D			
0000950170-24-038822	7975189	Common Stock		15-NOV-2022				4	S	false	F1			1600.0		21.18	F3	D		1038341.0				D			
0000950170-24-038822	7975188	Common Stock		15-NOV-2022				4	S	false	F1			46500.0		20.12	F2	D		1039941.0				D			
0001493152-24-012082	8684046	Class A Ordinary Shares		27-MAR-2024				4	J	0	F2			2130693.0			F2	D		0.0	F3			I		See Footnote	F4
0001493152-24-012080	7107694	Class A Ordinary Shares		27-MAR-2024				4	J	0	F2			2130693.0			F2	D		0.0	F3			D	F4		
0001493152-24-012082	8684045	Class A Ordinary Shares		27-MAR-2024				4	M	0	F3			2130693.0			F1	A		2130693.0				I		See Footnote	F4
0001493152-24-012080	7107693	Class A Ordinary Shares		27-MAR-2024				4	M	0	F3			2130693.0			F1	A		2130693.0				D	F4		
0001493152-24-012081	7353036	Class A Ordinary Shares		27-MAR-2024				4	J	0	F2			2130693.0			F2	D		0.0	F3			I		See Footnote	F4
0001493152-24-012081	7353035	Class A Ordinary Shares		27-MAR-2024				4	M	0	F3			2130693.0			F1	A		2130693.0				I		See Footnote	F4
0001628280-24-013866	8315686	Common Stock		06-MAR-2024				4	A	0				338.0	F1	0.0		A		338.0				D			
0001415889-24-009478	7752053	Common Stock		27-MAR-2024				4	D	0	F1			31165.0		0.0		D		54819.0				D			
0001415889-24-009477	8121328	Common Stock		28-MAR-2024				4	S	0				500.0	F4	90.13		D		69582.0				I		By Caraluna 1 Trust	F5
0001415889-24-009477	8121329	Common Stock		28-MAR-2024				4	S	0				500.0	F4	90.13		D		69582.0				I		By Caraluna 2 Trust	F5
0001415889-24-009477	8121326	Common Stock		28-MAR-2024				4	S	0				134.0	F2	90.42		D		348044.0				D			
0001415889-24-009477	8121325	Common Stock		27-MAR-2024				4	M	0				447.0			F1	A		348178.0				D			
0001415889-24-009477	8121327	Common Stock		28-MAR-2024				4	S	0				313.0	F3	90.13		D		347731.0				D			
0001415889-24-009476	7315210	Common Stock		28-MAR-2024				4	S	0				743.0	F2	90.42		D		204839.0				D			
0001415889-24-009476	7315209	Common Stock		27-MAR-2024				4	M	0				1364.0			F1	A		205582.0				D			
0001415889-24-009475	8675625	Common Stock		28-MAR-2024				4	S	0				707.0	F1	90.42		D		197560.0				D			
0001415889-24-009474	7247210	Common Stock		28-MAR-2024				4	S	0				464.0	F1	90.42		D		112199.0				D			
0001415889-24-009473	7900197	Common Stock		27-MAR-2024				4	M	0				5184.0			F7	A		237188.0				D			
0001415889-24-009473	7900194	Common Stock		15-MAR-2024				4	S	0				10265.0	F1	87.98	F2	D		40645.0	F3			I		By Chapman Family Trust	F4
0001415889-24-009473	7900195	Common Stock		15-MAR-2024				4	S	0				20575.0	F1	88.97	F5	D		20070.0				I		By Chapman Family Trust	F4
0001415889-24-009473	7900196	Common Stock		15-MAR-2024				4	S	0				20070.0	F1	89.6	F6	D		0.0				I		By Chapman Family Trust	F4
0001415889-24-009473	7900198	Common Stock		28-MAR-2024				4	S	0				2662.0	F8	90.42		D		234526.0				D			
0001415889-24-009472	8303275	Common Stock		28-MAR-2024				4	S	0				914.0	F2	90.42		D		72024.0				D			
0001415889-24-009472	8303274	Common Stock		27-MAR-2024				4	M	0				2292.0			F1	A		72938.0				D			
0001415889-24-009470	7768713	Common Stock		27-MAR-2024				4	D	0	F1			31165.0		0.0		D		115807.0				D			
0001415889-24-009468	7429586	Common Stock		27-MAR-2024				4	D	0	F1			31165.0		0.0		D		92330.0				D			
0001415889-24-009466	8555455	Common Stock		27-MAR-2024				4	D	0	F1			31165.0		0.0		D		54819.0				D			
0001415889-24-009464	7656676	Common Stock		28-MAR-2024				4	S	0	F1			2000.0		0.43	F3	D		5020706.0				D			
0001415889-24-009464	7656675	Common Stock		27-MAR-2024				4	S	0	F1			2000.0		0.35	F2	D		5022706.0				D			
0000950170-24-038820	7692569	Common Stock		29-MAR-2024				4	F	false				11397.0	F3, F1	3.93		D		302591.0	F1			D			
0000950170-24-038820	7692568	Common Stock		29-MAR-2024				4	M	false				21604.0	F1		F2	A		313988.0	F1			D			
0000950170-24-038816	7904039	Common Stock, $.01 Par Value		27-MAR-2024				4	F	false	F1			17084.0		4.63		D		246351.0				D			
0001562180-24-003043	7715499	Common Stock		27-MAR-2024				4	S	false	F1			4890.0		119.3		D		148817.0	F2			D			
0001213900-24-028125	7057776	Common Stock		28-FEB-2024				4	P	0				263157.0	F1	0.38	F2	A		1717051.0				I		By RTC3 2020 Irrevocable Family Trust	F3
0001213900-24-028125	7057777	Common Stock		28-FEB-2024				4	P	0				1578947.0	F1	0.38	F2	A		1578947.0				I		Chinwei Wang	F3
0001209191-24-005139	7045245	Common Stock		28-MAR-2024				4	S	0				1821.0	F1	4.84	F2	D		436822.0				D			
