ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001857816-24-000069	/s/ Matthew C. Bonner, attorney-in-fact for DCM Investment Management IV, L.P.	29-MAR-2024
0001857816-24-000069	/s/ Matthew C. Bonner, attorney-in-fact for DCM Affiliates Fund IV, L.P.	29-MAR-2024
0001857816-24-000069	/s/ Matthew C. Bonner, attorney-in-fact for Frank Hurst Lin	29-MAR-2024
0001857816-24-000069	/s/ Matthew C. Bonner	29-MAR-2024
0001857816-24-000069	/s/ Matthew C. Bonner, attorney-in-fact for DCM Investment Management IX, L.P.	29-MAR-2024
0001857816-24-000069	/s/ Matthew C. Bonner, attorney-in-fact for DCM International IX, Ltd.	29-MAR-2024
0000950142-24-000835	/s/ William H. Lyon	29-MAR-2024
0001093557-24-000060	By: /s/ Jereme M Sylvain For: Michael Jon Brown	29-MAR-2024
0001893303-24-000002	/s/ Jolene Marshall as attorney-in-fact for Stephen Branstetter	29-MAR-2024
0001828318-24-000032	/s/ Arthi Chakravarthy, Attorney-in-Fact for Bernard Gutmann	29-MAR-2024
0001828318-24-000030	/s/ Arthi Chakravarthy, Attorney-in-Fact for Joseph Malchow	29-MAR-2024
0001596532-24-000125	By: Isabelle Bertin-Bailly, Attorney-in-Fact For: Jayshree Ullal	27-MAR-2024
0001570562-24-000057	/s/ Jeffrey J. Plumer, as attorney-in-fact for David Moatazedi	29-MAR-2024
0001628280-24-013847	/s/ Michael L. Hance, Attorney-in-Fact	29-MAR-2024
0001717547-24-000033	/s/ David A. Palame	29-MAR-2024
0001551306-24-000051	/s/ Mark Livingston, Attorney-in-Fact	29-MAR-2024
0001801169-24-000063	/s/ Carrie Wheeler, Attorney-in-fact	29-MAR-2024
0001628280-24-013845	/s/ Michael L. Hance, Attorney-in-Fact	29-MAR-2024
0000950170-24-038801	Noubar B. Afeyan, Ph.D. By: /s/ Noubar B. Afeyan, Ph.D.	29-MAR-2024
0001628280-24-013843	/s/ Michael L. Hance, Attorney-in-Fact	29-MAR-2024
0001628280-24-013841	/s/ Michael L. Hance, Attorney-in-Fact	29-MAR-2024
0001127602-24-011472	/s/ David King, Attorney-in-Fact for Laura Alber	29-MAR-2024
0001628280-24-013839	/s/ Michael L. Hance, Attorney-in-Fact	29-MAR-2024
0000950170-24-038799	/s/ Andrew C. Goldberg, attorney-in-fact	29-MAR-2024
0001127602-24-011470	/s/ David R. King, Attorney-in-Fact for Marta Benson	29-MAR-2024
0001127602-24-011469	/s/ Giovanni Insana, as Attorney-in-Fact	29-MAR-2024
0000950170-24-038797	/s/ Andrew C. Goldberg, attorney-in-fact	29-MAR-2024
0001127602-24-011467	/s/ Giovanni Insana, as Attorney-in-Fact	29-MAR-2024
0001628280-24-013837	/s/ Michael L. Hance, Attorney-in-Fact	29-MAR-2024
0001628280-24-013835	/s/ Michael L. Hance, Attorney-in-Fact	29-MAR-2024
0000899140-24-000382	Insight Holdings Group, LLC, by Andrew Prodromos, its Authorized Signatory; By: /s/Andrew Prodromos	29-MAR-2024
0001665918-24-000062	/s/ Brett R. Schroeder, Attorney In Fact	29-MAR-2024
0001665918-24-000061	/s/ Brett R. Schroeder, Attorney In Fact	29-MAR-2024
0001665918-24-000060	/s/ Brett R. Schroeder, Attorney In Fact	29-MAR-2024
0001665918-24-000059	/s/ Brett R. Schroeder, Attorney In Fact	29-MAR-2024
0001665918-24-000058	/s/ Brett R. Schroeder, Attorney In Fact	29-MAR-2024
0001665918-24-000057	/s/ Brett R. Schroeder, Attorney In Fact	29-MAR-2024
0001753926-24-000644	/s/ Judy Wong, Attorney-in-fact	29-MAR-2024
0001140361-24-016692	/s/ Diane Nguyen	29-MAR-2024
0001665918-24-000050	/s/ Brett R. Schroeder, Attorney In Fact	29-MAR-2024
0001665918-24-000048	/s/ Brett R. Schroeder, Attorney In Fact	29-MAR-2024
0001665918-24-000046	/s/ Brett R. Schroeder, Attorney In Fact	29-MAR-2024
0001140361-24-016688	/s/ John Markovich	29-MAR-2024
0001140361-24-016687	/s/ Alan Baratz	29-MAR-2024
0001062993-24-007464	/s/ Jeffrey J. Guzy	29-MAR-2024
0001415889-24-009458	/s/ Christopher Krueger	29-MAR-2024
0000950142-24-000834	/s/ See Signatures Included in Exhibit 99.1	29-MAR-2024
0001415889-24-009456	/s/ Christopher Krueger, as Attorney-in-Fact	29-MAR-2024
0001628280-24-013833	/s/ Robin Schulman, Attorney-in-Fact for Sundeep Bedi	29-MAR-2024
0001415889-24-009454	/s/ Christopher Krueger, as Attorney-in-Fact	29-MAR-2024
0001415889-24-009452	/s/ Christopher Krueger, as Attorney-in-Fact	29-MAR-2024
0001140361-24-016682	LSP Investment Advisors, LLC  By: /s/ Jeff Wade Name: Jeff Wade Title:Chief Compliance Officer and Associate General Counsel	29-MAR-2024
