ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000950170-24-038799	1801751	Stock Option (Right to Buy)		17.28					F4	03-AUG-2025		Common Stock		11821.0				11821.0	F5			D			
0000950170-24-038799	1801750	Stock Option (Right to Buy)		21.53					F4	27-OCT-2024		Common Stock		10132.0				10132.0	F5			D			
0000950170-24-038799	1801752	Stock Option (Right to Buy)		5.35					F4	01-AUG-2026		Common Stock		30675.0				30675.0	F5			D			
0000950170-24-038799	1801753	Stock Option (Right to Buy)		4.1					F4	12-SEP-2027		Common Stock		42919.0				42919.0	F5			D			
0000950170-24-038797	1933934	Stock Option (Right to Buy)		17.28					F11	03-AUG-2025		Common Stock		11821.0				11821.0				I		See footnote.	F12
0000950170-24-038797	1933933	Stock Option (Right to Buy)		21.53					F11	27-OCT-2024		Common Stock		10132.0				10132.0				I		See footnote.	F12
0000950170-24-038797	1933935	Stock Option (Right to Buy)		5.35					F11	01-AUG-2026		Common Stock		30675.0				30675.0				I		See footnote.	F12
0000950170-24-038797	1933936	Stock Option (Right to Buy)		4.1					F11	12-SEP-2027		Common Stock		42919.0				42919.0				I		See footnote.	F12
0001140361-24-016692	1817686	Stock Option (right to buy)		0.85					F6	10-JAN-2034		Common Stock		58255.0				58255.0				D			
0001140361-24-016692	1817687	Stock Option (right to buy)		0.91					F7	05-MAY-2030		Common Stock		16592.0				16592.0				D			
0001140361-24-016692	1817688	Stock Option (right to buy)		0.91					F8	05-MAY-2030		Common Stock		27668.0				27668.0				D			
0001140361-24-016692	1817689	Stock Option (right to buy)		0.91					F9	17-NOV-2030		Common Stock		9118.0				9118.0				D			
0001140361-24-016692	1817690	Stock Option (right to buy)		0.92					F10	20-AUG-2031		Common Stock		53379.0				53379.0				D			
0001593968-24-000519	1904989	Option (right to buy)		57.28				16-JUL-2025		16-JUL-2036		Common Stock		10000.0				10000.0				D			
0001593968-24-000519	1904988	Option (right to buy)		47.22				23-JUN-2021		23-JUN-2032		Common Stock		5000.0				5000.0				D			
0001593968-24-000518	1888161	Option (right to buy)		51.3				28-FEB-2024		28-FEB-2035		Common Stock		65000.0				65000.0				D			
0001593968-24-000516	1980634	Option (right to buy)		32.3				19-JUN-2019		19-JUN-2030		Common Stock		32709.0				32709.0				D			
0001593968-24-000515	1778948	Option (right to buy)		51.3				28-FEB-2024		28-FEB-2035		Common Stock		65000.0				65000.0				D			
0001593968-24-000513	1729095	Option (right to buy)		58.26				03-DEC-2023		03-DEC-2034		Common Stock		20000.0				20000.0				D			
0001593968-24-000512	1706572	Option (right to buy)		57.28				16-JUL-2025		16-JUL-2031		Common Stock		10000.0				10000.0				D			
0001593968-24-000511	1896587	Non-Qualified Stock Option (right to buy)		20.83				19-APR-2017		19-APR-2028		Common Stock		10000.0				10000.0				D			
0001593968-24-000509	1793872	Option (right to buy)		94.86				17-JUN-2026		17-JUN-2037		Common Stock		10000.0				10000.0				D			
0001628280-24-013824	1986529	Restricted Stock Units			F2				F1		F1	Class  A  Common  Stock		24040.0								D			
0000897069-24-000800	1762699	Stock Option		0.25					F2	13-DEC-2026		Common Stock		700000.0				700000.0				D			
0000897069-24-000800	1762702	Stock Option		0.14					F2	15-NOV-2028		Common Stock		240000.0				240000.0				D			
0000897069-24-000800	1762701	Stock Option		0.28					F2	03-MAY-2027		Common Stock		66667.0				66667.0				D			
0000897069-24-000800	1762703	Stock Option		0.09					F1	15-DEC-2031		Common Stock		133333.0				133333.0				D			
0000897069-24-000800	1762700	Stock Option		0.23					F2	07-FEB-2027		Common Stock		200000.0				200000.0				D			
0001610717-24-000197	1905008	Stock Option (Right to Buy)		23.85					F2	29-APR-2033		Common Stock		200000.0								D			
0001610717-24-000197	1905009	Stock Option (Right to Buy)		29.8					F3	28-FEB-2034		Common Stock		64400.0								D			
0000935836-24-000326	1851832	Class B Common Stock			F2				F2		F2	Class A Common Stock			F2			64919.0				I		See Note	F6
0000935836-24-000326	1851833	Class B Common Stock			F2				F2		F2	Class A Common Stock			F2			6832130.0				I		See Note	F7
0000935836-24-000326	1851831	Class B Common Stock			F2				F2		F2	Class A Common Stock			F2			147606.0				I		See Note	F5
0001683168-24-001889	1895594	Restricted Stock Units			F2				F3		F3	Common Stock		3200.0				3200.0				D			
0001683168-24-001889	1895595	Restricted Stock Units			F3				F4		F4	Common Stock		4652.0				4652.0				D			
0001493152-24-011987	1925779	OPTION TO PURCHASE COMMON STOCK		0.18				11-MAR-2024	F1	11-MAR-2034		A		4000000.0								D			
0000950170-24-038686	1811752	Stock Option (Right to Buy)		1.2				28-MAR-2025		27-MAR-2034		Common Stock		30000.0				30000.0				D			
0000950170-24-038679	1973078	Stock Option (Right to Buy)		1.2				28-MAR-2025		27-MAR-2034		Common Stock		30000.0				30000.0				D			
0000950170-24-038673	1796270	Stock Option (Right to Buy)		1.2				28-MAR-2025		27-MAR-2034		Common Stock		30000.0				30000.0				D			
0000950170-24-038663	1884347	Stock Option (Right to Buy)		1.2				28-MAR-2025		27-MAR-2034		Common Stock		60000.0				60000.0				D			
