ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000950170-24-038822	2595502	Common Stock				556183.0				I		By Spouse	
0001213900-24-028125	2319620	Common Stock				575.0				D			
0001213900-24-028125	2319619	Common Stock				648.0				I		By NXT3J Capital, LLC	F4
0001213900-24-028124	2756563	Common Stock				1578947.0	F1			D	F1		
0001209191-24-005137	2726177	Common Stock				519429.0				I		See Footnote	F3
0000950142-24-000835	2808404	Common Stock				17744.0				D			
0001828318-24-000030	2322363	Common Stock				1300.0				I	F5		
0001828318-24-000030	2322362	Common Stock				4400.0				D	F4	Minor Child	
0001596532-24-000125	2788957	Common Stock				12000.0				I			
0001596532-24-000125	2788955	Common Stock				17681.0				D		By Trust for Nephew	F5
0001596532-24-000125	2788956	Common Stock				12000.0				I		By Trust for Niece	F5
0000950170-24-038801	2812831	Common Stock				9662114.0	F8			I		By Flagship Ventures Fund IV, L.P. and Flagship Ventures Fund IV-Rx, L.P.	F8
0000950170-24-038801	2812832	Common Stock				3924.0	F9			I		By Flagship Pioneering, Inc.	F9
0001628280-24-013843	2628790	Common Stock				29.0				I		By Son	
0001127602-24-011472	2380249	Common Stock				16398.0				I		By Managed Account	F1
0000950170-24-038799	2479280	Common Stock, par value $0.01				15334006.0				I		See footnote	F3, F2
0000950170-24-038797	2719713	Common Stock, par value $0.01				3503776.0	F8, F5, F4, F7			D			
0000950170-24-038797	2719712	Common Stock, par value $0.01				11680206.0	F3, F5, F6, F4			D			
0000950170-24-038797	2719714	Common Stock, par value $0.01				150024.0	F10, F5, F9, F4			D			
0001714899-24-000097	2433500	Common Stock				238067.0	F3			D			
0001593968-24-000518	2635575	Common Stock				5098.0				I		IRA	
0001593968-24-000518	2635576	Common Stock				48707.08				D	F1		
0001593968-24-000517	2644778	Common Stock				10000.0				I		By Spouse-Kim	F1
0001593968-24-000517	2644779	Common Stock				5000000.0				D	F2		
0001593968-24-000517	2644780	Common Stock				14000.0				D	F3		
0001593968-24-000516	2804221	Common Stock				10000.0				D			
0000950170-24-038787	2628881	common stock, par value $0.1				666825.0				I		"Held as sole Person Representative Edward L. Spencer, Jr (the ""Estate"") see Note 1"	
0000950170-24-038787	2628882	common stock, par value $0.1				47882.0				I		"Held as sole Trustee of the Spencer 2008 Irrevocable Trust. (""Spencer Truct"")  See Note1"	
0000950170-24-038787	2628883	common stock, par value $0.1				17000.0				I		"Held pursuant to a Power of Attorney from Ruth Spencer (""Power of Attorney"") See Note 1"	
0000950170-24-038787	2628884	common stock, par value $0.1				75.33				I		Shares held by the Reporting Person's Spouse	
0000950170-24-038787	2628886	common stock, par value $0.1				3960.0				I			
0000950170-24-038787	2628885	common stock, par value $0.1				10271.89				D		Includes all shares held by Spencer LLC. See Note 1	
0001593968-24-000515	2438118	Common Stock				7000.0				D			
0001593968-24-000514	2325587	Common Stock				18714.0				D			
0001593968-24-000514	2325586	Common Stock				1564.0				D			
0001517375-24-000045	2739752	Class A Common Stock				203775.0				I		See Footnote	F3
0001593968-24-000513	2347471	Common Stock				5600.0				D			
0001593968-24-000511	2650941	Common Stock				470.0				I		By Spouse-IRA	
0001593968-24-000510	2772601	Common Stock				5218.0				I		Spousal IRA	
0001593968-24-000510	2772600	Common Stock				21280.0				I		IRA	
0001415889-24-009447	2463838	Common Stock				754311.0				I		See footnotes	F3, F1
0001593968-24-000508	2368043	Common Stock				37000.0				D			
0001213900-24-028096	2520156	Common Stock				2115213.0				I		By MILFAM Investments LLC	F2
0001213900-24-028096	2520157	Common Stock				1948907.0				I		By MILFAM CI LLC SPARTACUS	F3
0001213900-24-028095	2549155	Common Stock				143541.0				I		By Trust	F2
0001209191-24-005135	2463629	Common Stock				375000.0	F1			D			
0001127602-24-011466	2512587	Common Stock				20000.0				I		Trust-LTF	
0001127602-24-011466	2512588	Common Stock				20000.0				I		Trust-MPF	
0001127602-24-011466	2512586	Common Stock				20000.0				I		Trust-GEF	
0001127602-24-011463	2727988	Common Stock, Par Value $.01 Per Share				24896.0				I		Amanda Julie Goldfarb 2007 Trust	
0001127602-24-011463	2727990	Common Stock, Par Value $.01 Per Share				2200.0				I		Ryan Gabriel Goldfarb 2009 Trust	
0001127602-24-011463	2727989	Common Stock, Par Value $.01 Per Share				47170.0				I		JARS Portfolio LLC	
0000950170-24-038759	2380783	Class A Common Stock				43940.0	F3			D			
0001127602-24-011459	2545219	Common Stock, Par Value $.01 Per Share				29666.0				I		Spouse	
0001127602-24-011459	2545216	Common Stock, Par Value $.01 Per Share				200000.0				I		Arlene Goldfarb 2012 Delaware Trust	
0001127602-24-011459	2545217	Common Stock, Par Value $.01 Per Share				166750.0				I		Goldfarb Family Partners, LLC	
0001127602-24-011459	2545218	Common Stock, Par Value $.01 Per Share				200000.0				I		Morris Goldfarb 2012 Delaware Trust	
0001127602-24-011459	2545220	Common Stock, Par Value $.01 Per Share				76175.0				I		The Morris And Arlene Goldfarb Family Foundation	
0000933136-24-000031	2317438	Common Stock				926001.0				D			
0001437749-24-010116	2396693	Common Stock				23735.0				I		By Children's Irrevocable Trust	F3
0001437749-24-010116	2396691	Common Stock				41636.0				I		By Trust	F1
0001437749-24-010116	2396692	Common Stock				6195.0				I		By Spouse	F2
0001437749-24-010115	2482618	Common Stock				57646.0				I		By Trust	F3
0001437749-24-010115	2482617	Common Stock				1620973.0				I		By S-FDF, LLC	F2
0001437749-24-010114	2326780	Common Stock				1620973.0				I		By S-FDF, LLC	F2
0000921895-24-000750	2643195	Common Stock				6373676.0				I		See Footnote	F3, F2, F1
0001104659-24-041205	2759182	Class A Common Stock				90564.0	F2			I		By Trust	F2
0001415889-24-009445	2668826	Common Stock				122028.0				I		See Footnote	F3
0001610717-24-000197	2666836	Common Stock				74400.0	F1			D			
0000912242-24-000039	2586126	Common Stock				29445.0				I		Family Trust	
0000912242-24-000039	2586127	Common Stock				53426.0				I		Family Partnership	
0001493152-24-012014	2725437	Common Stock				8955.0	F2			I		By Trust	
0000950170-24-038727	2336263	Voting Common Stock				231817.0				D	F1		
0001104659-24-041175	2663986	Common Stock				50919.0				I		See Footnote	F1
0001127602-24-011455	2551887	Common Stock				10000000.0				I	F6	By Marc Benioff Fund LLC	
0000811532-24-000060	2358171	Units of Limited Partner Interest				2368.0				I		By Spouse	
0000016918-24-000029	2613286	Class A Common Stock				15.0				I		By Spouse	
0000016918-24-000029	2613287	Class A Common Stock				17.0				I		By Family Trusts	F1
0001214659-24-005633	2322301	Class A Common Stock				516463.0				I		By Aston Aladmax LLC	
0001213900-24-027994	2740338	Common Stock, par value $0.15 per share				1652.0				I		By 401(K) Plan	
0001213900-24-027992	2573562	Common Stock, par value $0.15 per share				34184.0				I		By 401(K) Plan	
0001213900-24-027992	2573561	Common Stock, par value $0.15 per share				585451.0	F2			I		By Trusts	
0001214659-24-005630	2312945	Common Stock				27681.31	F2			I		By 130 Store Company LLC	F4
0001214659-24-005630	2312943	Common Stock				24139.19	F2			I		By Gould Shenfeld Family Foundation	F1
0001214659-24-005630	2312946	Common Stock				493326.4	F2			D			
0001214659-24-005630	2312944	Common Stock				36447.87	F2			I		By Gould Family Trust	F3
0001214659-24-005628	2603496	Common Stock				459068.95	F5			D			
0001214659-24-005628	2603495	Common Stock				27681.31	F5			I		By 130 Store Company LLC	F4
0001214659-24-005628	2603494	Common Stock				20874.0				I		By BRT Apartments Corp. Pension Trust	F3
0001214659-24-005628	2603493	Common Stock				24139.19	F5			I		By Gould Shenfeld Family Foundation	F2
0001214659-24-005628	2603492	Common Stock				36447.87	F5			I		By Gould Family Trust	F1
0000354950-24-000104	2806816	$.05 Common Stock				12565.0				I		by Charitable Remainder Trust	
0001127602-24-011450	2787565	Common Stock				1000.0				D			
0001127602-24-011448	2471008	Common Stock				100.0				D			
0000950170-24-038660	2612698	Common Stock				10000.0				I		William & Carole Cobb 2000 Family Trust	
0000950170-24-038657	2667654	Common Stock				40260.0				I		See footnote	F3
0001127602-24-011446	2406213	Common Stock				5100.0				D			
0001062993-24-007456	2522786	Common Stock				38870.0				D			
0001062993-24-007455	2506391	Common Stock				15280.97	F1			D			
0001127602-24-011444	2361266	Common Stock				10.0				D			
0001971761-24-000002	2782359	Class A Common Shares				0.0				D			
0001062993-24-007452	2620675	Common Stock				27649.0				I		By Trust	
0001819493-24-000048	2553876	Common Stock				3351.0				D			
0001819493-24-000046	2685757	Common Stock				4801.0				D			
0001819493-24-000044	2480970	Common Stock				4773.0				D			
0001062993-24-007443	2588916	Common Stock				3407.11				I			
0001062993-24-007443	2588915	Common Stock				48534.41				D		401(K) Plan	
0001415889-24-009426	2572381	Common Stock				1045.58	F1			I		By 401(k) Plan	
0001415889-24-009425	2486791	Common Stock				203000.0				I		See footnote	F4
0001415889-24-009425	2486790	Common Stock				559235.0				I		See footnote	F3
0000099780-24-000029	2506365	Common Stock				2843.0				I		401k Plan	
0000950170-24-038621	2308557	Common Stock				500.0	F5			D			
0000950170-24-038621	2308555	Common Stock				2803.0				I		By Self's IRA	
0000950170-24-038621	2308556	Common Stock				9988.0				D			
0000950170-24-038618	2686429	Common Stock				875.0	F3			D			
0000950170-24-038618	2686428	Common Stock				71365.0				D			
0000950170-24-038618	2686427	Common Stock				140.0				I		By Anthony Saravanos IRA	
0000950170-24-038618	2686426	Common Stock				1200.0				I		By Self and Maria Saravanos as Custodian for son, Kostos Anthony Saravanos	
0000950170-24-038618	2686430	Common Stock				750.0	F4			D			
0000950170-24-038618	2686431	Common Stock				34000.0	F5			D			
0000950170-24-038616	2620640	Common Stock				875.0	F2			D			
0000950170-24-038616	2620642	Common Stock				34000.0	F4			D			
0000950170-24-038616	2620641	Common Stock				750.0	F3			D			
0001628280-24-013779	2818732	Ordinary Shares				434428.0				D			
0001415889-24-009421	2766627	Common Stock				126635.0				I		by GKF, LLC	F2
0000950170-24-038595	2509243	Class V common stock				44100000.0				I		By BT Assets, Inc.	F4
0001965021-24-000045	2435342	Common Stock				9162.94	F2			I		by 401(k) Plan	
0001415889-24-009406	2413852	Common Stock				54880.0	F1			D			
0001127602-24-011442	2588936	Common Stock				11642.82				I		By 401(k)	F2
0001127602-24-011442	2588935	Common Stock				279010.23				I		By ESOP	F1
0001127602-24-011442	2588934	Common Stock				8000.0				I		By Custodian for Child	
0001127602-24-011442	2588932	Common Stock				70625.0				I		By Spouse	
0001127602-24-011442	2588933	Common Stock				23435.0				I		By Spouse's Trust	
0002001320-24-000001	2485934	Series B-1 Preferred Stock				4309710.0	F1, F2			D			
0002001320-24-000001	2485933	Common Stock				2142800.0				D			
0000939269-24-000003	2704211	Common Stock				2473030.0				I		BY ROWLAND DAY AND JAIMIE D. DAY FAMILY TRUST	
0000939269-24-000003	2704212	Series B-1 Preferred Stock				4309710.0	F1			I		BY ROWLAND DAY AND JAIMIE D. DAY FAMILY TRUST	
0001415889-24-009403	2766297	Common Stock				13255.87				I		By ESOP	
0001415889-24-009402	2419542	Common Stock				15576.95				I		By ESOP	
0000950170-24-038530	2330365	Common Stock				10000.0				I		See Footnote	F4
0000950170-24-038530	2330364	Common Stock				10000.0				I		See Footnote	F3
0001415889-24-009401	2491514	Common Stock				5254.03				I		By ESOP	
0001415889-24-009399	2386488	Common Stock				1423.13				I		ESOP	
0000910073-24-000105	2733026	Common Stock				11220.0				I		By Stock Award (012324)	F2
0001127602-24-011437	2350091	Common Stock				3814.0				D			
0000910073-24-000104	2545587	Common Stock				11220.0	F2			I		By Stock Award (012324)	
0001415889-24-009397	2447843	Common Stock				38107.0				I		As Trustee of Colombo Family Trust	
0001415889-24-009397	2447844	Common Stock				13692.0				I		By IRA	
0000910073-24-000103	2629177	Common Stock				11220.0	F2			I		By Stock Award (012324)	
0001209191-24-005134	2691252	Class C Capital Stock				35579.0				D			
0001209191-24-005134	2691253	Class C Google Stock Units	F1			30900.0				D			
0001209191-24-005134	2691254	Class C Google Stock Units	F2			98731.0				D			
0001363607-24-000006	2602378	Common Stock				27862.75	F3			I		By 401(k) Plan	
0001363607-24-000006	2602377	Common Stock				1000.0				I		By Sons	
0001362786-24-000006	2656534	Common Stock				22215.71	F5			I		By 401(k) Plan	
0001577289-24-000007	2583316	Common Stock				10917.62	F2			I		By 401(K) Plan	
0001850356-24-000004	2617143	Common Stock				10000.0				I		By Trust	F3
0001927571-24-000006	2764710	Common Stock				70279.08	F2			I		By 401KSOP	
0001927571-24-000006	2764709	Common Stock				64.0				I		By Daughter	
0001572890-24-000006	2620765	Common Stock				184941.64	F4			I		By 401(k) Plan	
0001572890-24-000006	2620764	Common Stock				9600.0				I		By Sons	
0001668793-24-000006	2377370	Common Stock				28886.24	F4			I		By 401(K) Plan	
0001572888-24-000006	2415429	Common Stock				14543.79	F4			I		By 401(k) Plan	
0001927362-24-000006	2800119	Common Stock				35967.05	F2			I		By 401KSOP	
0001929436-24-000006	2400903	Common Stock				28723.58	F2			I		By 401KSOP	
0001634938-24-000006	2414415	Common Stock				3681.45	F2			I		By 401K Plan	
0001062993-24-007432	2384762	Common Stock - Voting				3983.54				D			
0001062993-24-007432	2384763	Common Stock - Voting				5238.54				D			
0001062993-24-007430	2695967	Common Stock - Voting				10482.0				D			
0001062993-24-007428	2673345	Common Stock - Voting				27755.44				D			
0001062993-24-007428	2673346	Common Stock - Non Voting				2620.0				D			
0001062993-24-007426	2602816	Common Stock - Voting				10766.0				D			
0001062993-24-007424	2651427	Common Stock - Non Voting				13059.21				D			
0001062993-24-007424	2651426	Common Stock - Voting				98863.69				D			
0001062993-24-007422	2740160	Common Stock - Non Voting				5000.0				D			
0001062993-24-007420	2591645	Common Stock - Voting				40436.0				D			
0001062993-24-007420	2591646	Common Stock - Non Voting				4234.0				D			
0001062993-24-007418	2423765	Common Stock - Non Voting				1191.5				D			
0001062993-24-007418	2423764	Common Stock - Voting				24732.0				D			
0001062993-24-007416	2501333	Common Stock - Voting				383.0				D			
0001062993-24-007414	2765532	Common Stock - Voting				15286.0				D			
0001062993-24-007412	2684504	Common Stock - Voting				2106.19				D			
0001062993-24-007410	2366170	Common Stock - Non Voting				1136.0				D			
0001062993-24-007410	2366169	Common Stock - Voting				99131.01				D			
