ACCESSION_NUMBER	NONDERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001567619-22-016958	6168886	Common Stock		31-AUG-2022				4	P	0				3000.0		0.62		A		263549.0	F1			D			
0000874015-22-000155	6168391	Common Stock		31-AUG-2022				4	J	0	F1			108.0		28.97		A		34644.0				D			
0001567619-22-016957	6168300	Common Stock		31-AUG-2022				4	P	0				3000.0		0.62		A		245441.0	F1			D			
0001437749-22-021716	6167980	Common Stock		30-AUG-2022				4	A	0				2233.0	F1	0.0		A		8887.0				D			
0001437749-22-021716	6167981	Common Stock		30-AUG-2022				4	A	0				6154.0	F2	0.0		A		15041.0				D			
0001437749-22-021716	6167979	Common Stock		23-MAY-2022				4	F	0				350.0		45.68		D		6654.0				D			
0000874015-22-000154	6168560	Common Stock		31-AUG-2022				4	J	0	F1			202.0		28.97		A		58561.0				D			
0000874015-22-000153	6168301	Common Stock		31-AUG-2022				4	J	0	F1			183.0		28.97		A		55416.0				D			
0001567619-22-016956	6167824	Common Stock		31-AUG-2022				4	P	0				3000.0		0.62		A		665680.0	F1			D			
0001437749-22-021714	6168448	Common Stock		30-AUG-2022				4	A	0				3236.0	F1	0.0		A		6491.0				D			
0001567619-22-016955	6169114	Common Stock		31-AUG-2022				4	P	0				3000.0		0.62		A		256110.0	F1			D			
0001874944-22-000046	6168532	Class A Common Stock		31-AUG-2022				4	S	0				200000.0		4.01	F1	D		1778238.0				I		Held through Mossytree Inc.	F2
0001874944-22-000046	6168533	Class A Common Stock		01-SEP-2022				4	S	0				400000.0		4.0	F3	D		1378238.0				I		Held through Mossytree Inc.	F2
0001127602-22-021928	6168282	Common Stock		30-AUG-2022				4	F	0				1204.0	F3	44.14		D		36851.0	F4			D			
