ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001843082-22-000004	2271314	Stock Option (Right to Buy)		4.07		05-APR-2022				4	M	0				1000.0				0.0		D			F2	11-NOV-2030		Common Stock, $.005 Par Value		1000.0				1000.0				D			
0001127602-22-011704	2271379	Stock Option		26.62		07-APR-2022				4	M	0				14815.0				0.0		D			F1	07-AUG-2025		Common Stock		14815.0				0.0				D			
0001127602-22-011704	2271378	Stock Option		26.62		06-APR-2022				4	M	0				15100.0				0.0		D			F1	07-AUG-2025		Common Stock		15100.0				14815.0				D			
0001127602-22-011704	2271377	Stock Option		26.62		05-APR-2022				4	M	0				100.0				0.0		D			F1	07-AUG-2025		Common Stock		100.0				29915.0				D			
0001127602-22-011703	2271225	Phantom Stock			F1	06-APR-2022				4	A	0				43.58	F1			77.45		A			F1		F1	Common Stock		43.58				5613.51				D			
0001127602-22-011703	2271224	Phantom Stock			F1	06-APR-2022				4	A	0				190.13	F1			77.45		A			F1		F1	Common Stock		190.13				5569.93				D			
0001089063-22-000049	2271275	Stock Option (Right to Buy)		30.1	F1	05-APR-2022				4	M	0				6403.0				0.0		D			F4	03-JUL-2026		Common Stock, par value $0.01 per share		6403.0				6404.0				D			
0001089063-22-000049	2271276	Stock Option (Right to Buy)		32.77	F1	05-APR-2022				4	M	0				4439.0				0.0		D			F5	03-APR-2026		Common Stock, par value $0.01 per share		4439.0				4439.0				D			
0001667731-22-000164	2271381	Restricted Share Unit			F1	31-MAR-2022				4	A	0				163.0				0.0	F2	A			F1		F1	Common Stock		163.0				43413.0				D			
0001667731-22-000162	2271272	Restricted Share Unit			F1	31-MAR-2022				4	A	0				214.0				0.0	F2	A			F1		F1	Common Stock		214.0				56952.0				D			
0001667731-22-000162	2271273	Deferred Share Unit			F3	31-MAR-2022				4	A	0				10.0				0.0	F4	A			F3		F3	Common Stock		10.0				2575.0				D			
0001127602-22-011699	2271260	Phantom Stock			F1	06-APR-2022				4	A	0				126.86	F1			77.45		A			F1		F1	Common Stock		126.86				9139.95				D			
0001667731-22-000160	2271328	Restricted Share Unit			F1	31-MAR-2022				4	A	0				752.0				0.0	F2	A			F1		F1	Common Stock		752.0				205740.0				D			
0000899243-22-014223	2271294	Restricted stock units			F1	05-APR-2022				4	A	0				2841.0				0.0		A			F2		F2	Common stock		2841.0				2841.0				D			
0001209191-22-023616	2271305	Time-based Restricted Stock Units			F2	28-FEB-2022				4	M	0				2749.0					F2	D			F2		F2	Class A common stock, par value $0.01		2749.0				0.0				D			
0001667731-22-000158	2271329	Restricted Share Unit			F1	31-MAR-2022				4	A	0				82.0				0.0	F2	A			F1		F1	Common Stock		82.0				21760.0				D			
0001667731-22-000158	2271330	Deferred Share Unit			F3	31-MAR-2022				4	A	0				111.0				0.0	F4	A			F3		F3	Common Stock		111.0				30004.0				D			
0001667731-22-000156	2271241	Deferred Share Unit			F3	31-MAR-2022				4	A	0				159.0				0.0	F4	A			F3		F3	Common Stock		159.0				42945.0				D			
0001667731-22-000156	2271240	Restricted Share Unit			F1	31-MAR-2022				4	A	0				89.0				0.0	F2	A			F1		F1	Common Stock		89.0				23694.0				D			
0000899243-22-014219	2271422	Restricted stock units			F1	05-APR-2022				4	A	0				2841.0				0.0		A			F2		F2	Common stock		2841.0				2841.0				D			
0001667731-22-000154	2271278	Deferred Share Unit			F3	31-MAR-2022				4	A	0				26.0				0.0	F4	A			F3		F3	Common Stock		26.0				7045.0				D			
0001667731-22-000154	2271277	Restricted Share Unit			F1	31-MAR-2022				4	A	0				221.0				0.0	F2	A			F1		F1	Common Stock		221.0				60440.0				D			
0000899243-22-014217	2271342	Restricted stock units			F1	05-APR-2022				4	A	0				1705.0				0.0		A			F2		F2	Common stock		1705.0				1705.0				D			
0001829126-22-007884	2271300	Warrants to purchase ordinary shares		11.5		05-APR-2022				4	P	0				330000.0					F1	A			F2		F3	Ordinary Shares		330000.0				330000.0				D			
0001829126-22-007884	2271301	Rights to receive ordinary shares		0.0	F4	05-APR-2022				4	P	0				330000.0					F1	A			F4		F5	Ordinary Shares		33000.0				33000.0				D			
0000899243-22-014216	2271245	Restricted stock units			F1	05-APR-2022				4	A	0				3030.0				0.0		A			F2		F2	Common stock		3030.0				3030.0				D			
