ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001679788-22-000078	/s/ Gokul Rajaram, by Doug Sharp, Attorney-in-Fact	30-JUN-2022
0001415889-22-007134	/s/ Ariel Hurley, Attorney-in-Fact	30-JUN-2022
0001415889-22-007133	/s/ Ariel Hurley, Attorney-in-Fact	30-JUN-2022
0001415889-22-007132	/s/ Ariel Hurley, Attorney-in-Fact	30-JUN-2022
0001415889-22-007131	/s/ Ariel Hurley, Attorney-in-Fact	30-JUN-2022
0001415889-22-007130	/s/ Ariel Hurley, Attorney-in-Fact	30-JUN-2022
0001415889-22-007129	/s/ Ariel Hurley, Attorney-in-Fact	30-JUN-2022
0001415889-22-007128	/s/ Ariel Hurley, Attorney-in-Fact	30-JUN-2022
0000897101-22-000673	By: Christopher A. Rauschl For: Karen Wilson Thissen	30-JUN-2022
0000897101-22-000672	By: Christopher A. Rauschl For: Jacqueline R Williams-Roll	30-JUN-2022
0000897101-22-000671	By: Christopher A. Rauschl For: Sean N Walker	30-JUN-2022
0000897101-22-000670	By: Christopher A. Rauschl For: Bethany C Quam	30-JUN-2022
0001596771-22-000018	/s/ Jeffrey H. Kuras, by Power of Attorney	30-JUN-2022
0000897101-22-000669	By: Christopher A. Rauschl For: Mark Andrew Pallot	30-JUN-2022
0000897101-22-000668	By: Christopher A. Rauschl For: Shawn O'Grady	30-JUN-2022
0000897101-22-000667	By: Christopher A. Rauschl For: Jonathon Nudi	30-JUN-2022
0001654954-22-009064	/s/ John Junyong Lee POA for Pao-Sheng Wei	30-JUN-2022
0000897101-22-000666	By: Christopher A. Rauschl For: Jaime Montemayor	30-JUN-2022
0000897101-22-000665	By: Christopher A. Rauschl For: Dana M McNabb	30-JUN-2022
0000897101-22-000664	By: Christopher A. Rauschl For: Jeffrey L. Harmening	30-JUN-2022
0000897101-22-000663	By: Christopher A. Rauschl For: Paul Gallagher	30-JUN-2022
0001654954-22-009063	/s/ David Tzat-kin Wang	30-JUN-2022
0000897101-22-000662	By: Christopher A. Rauschl For: Kofi Apagya Bruce	30-JUN-2022
0000897101-22-000661	By: Christopher A. Rauschl For: Jodi J Benson	30-JUN-2022
0001493152-22-018283	/s/ Norman Roth, Attorney-in-Fact for John Daly	30-JUN-2022
0001554795-22-000234	Jonathan Read	30-JUN-2022
0000899243-22-024701	/s/ Ed Kirnbauer, Attorney in Fact	30-JUN-2022
0000899243-22-024700	/s/ Alexandra Plasencia, as attorney in fact for Calvin Hamstra	30-JUN-2022
0001415889-22-007127	/s/ Christi Hing, Attorney-in-Fact	30-JUN-2022
0001415889-22-007125	/s/ Christi Hing, Attorney-in-Fact	30-JUN-2022
0001415889-22-007123	/s/ Christi Hing, Attorney-in-Fact	30-JUN-2022
0001415889-22-007121	/s/ Christi Hing, Attorney-in-Fact	30-JUN-2022
0001437749-22-016333	/s/ Dustin Norris	30-JUN-2022
0001415889-22-007120	/s/ Christi HIng, Attorney-in-Fact	30-JUN-2022
0001474506-22-000076	/s/ Lewis Solimene, by Nelson Mullins Riley & Scarborough LLP with Power of Attorney	30-JUN-2022
0001474506-22-000075	/s/ Caroline Davidson, by Nelson Mullins Riley & Scarborough LLP with Power of Attorney	30-JUN-2022
0000899243-22-024696	/s/ J Bryant Kirkland III	30-JUN-2022
0000899243-22-024695	/s/ J Bryant Kirkland III, Attorney in Fact	30-JUN-2022
0001654954-22-009061	/s/Steven G Mihaylo	30-JUN-2022
0001127602-22-018314	/s/ Anisha Sharodi, Attorney-in-Fact for Marc Benioff	30-JUN-2022
