ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001209191-21-044224	66192	Restricted Stock Units			F6	28-JUN-2021				4	M	0				20313.0					F6	D			F7	13-FEB-2026		Class B Common Stock		20313.0				121875.0				D			
0001209191-21-044224	66193	Restricted Stock Units			F6	28-JUN-2021				4	M	0				6781.0					F6	D			F8	27-FEB-2027		Class B Common Stock		6781.0				67813.0				D			
0001209191-21-044224	66196	Class B Common Stock			F2	28-JUN-2021				4	C	0	F1			38719.0					F2	D			F2		F2	Class A Common Stock		38719.0				0.0				D			
0001209191-21-044224	66195	Class B Common Stock			F2	28-JUN-2021				4	M	0				38719.0					F2	A			F2		F2	Class A Common Stock		38719.0				38719.0				D			
0001209191-21-044224	66194	Restricted Stock Units			F6	28-JUN-2021				4	M	0				11625.0					F6	D			F9	23-MAR-2031		Class B Common Stock		11625.0				162750.0				D			
0001506293-21-000160	51814	Class B common stock			F1	28-JUN-2021				4	C	0	F2			9687.0				0.0		D			F1		F1	Class A Common Stock		9687.0				130529.0	F6			D			
0001415889-21-003306	33371	Stock Options (Right to Buy)		1.77		28-MAY-2021				4	M	0				112500.0				0.0		D			F8	28-MAY-2030		Common Stock		112500.0				337500.0				D			
0001415889-21-003306	33370	Stock Options (Right to Buy)		1.77		16-MAY-2021				4	M	0				1572.0				0.0		D			F7	19-FEB-2030		Common Stock		1572.0				44064.0				D			
0001415889-21-003306	33369	Stock Options (Right to Buy)		1.77		16-MAY-2021				4	M	0				34374.0				0.0		D			F6	04-NOV-2029		Common Stock		34474.0				962502.0				D			
0001415889-21-003306	33368	Stock Options (Right to Buy)		1.77		16-APR-2021				4	M	0				1575.0				0.0		D			F7	19-FEB-2030		Common Stock		1575.0				45636.0				D			
