ACCESSION_NUMBER	NONDERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001209191-21-044224	168538	Class A Common Stock		28-JUN-2021				4	S	0				19411.0	F3	23.19		D		897576.0				D			
0001209191-21-044224	168537	Class A Common Stock		28-JUN-2021				4	C	0	F1			38719.0		0.0	F2	A		916987.0				D			
0001506293-21-000160	131095	Class A Common Stock		28-JUN-2021				4	S	0	F4			9687.0		77.5		D		61429.0	F5			D			
0001506293-21-000160	131094	Class A Common Stock	F1	28-JUN-2021				4	C	0	F2			9687.0		0.0		A		71116.0	F3			D			
0001415889-21-003306	83051	Common Stock		16-APR-2021				4	M	0				35949.0		1.77		A		35949.0				D			
0001415889-21-003306	83064	Common Stock		10-JUN-2021				4	G	0				112500.0		0.0		D		0.0				D			
0001415889-21-003306	83063	Common Stock		08-JUN-2021				4	G	0				35946.0		0.0		A		259731.0				I		See Footnote	F2
0001415889-21-003306	83062	Common Stock		08-JUN-2021				4	G	0				35946.0		0.0		D		0.0				I		By spouse	
0001415889-21-003306	83061	Common Stock		01-JUN-2021				4	G	0				35946.0		0.0		A		35946.0				I		By spouse	
0001415889-21-003306	83060	Common Stock		01-JUN-2021				4	G	0				35946.0		0.0		D		112500.0				D			
0001415889-21-003306	83059	Common Stock		28-MAY-2021				4	M	0				112500.0		1.77		A		148466.0				D			
0001415889-21-003306	83058	Common Stock		16-MAY-2021				4	M	0				35946.0		1.77		A		35946.0				D			
0001415889-21-003306	83045	Common Stock		29-JAN-2021				4	M	0				518787.0		1.77		A		575175.0				D			
0001415889-21-003306	83046	Common Stock		20-MAR-2021				4	M	0				71898.0		1.77		A		647073.0				D			
0001415889-21-003306	83047	Common Stock		13-APR-2021				4	G	0				459237.0		0.0		D		187836.0				D			
0001415889-21-003306	83048	Common Stock		13-APR-2021				4	G	0				459237.0		0.0		A		459237.0				I		See Footnote	F1
0001415889-21-003306	83049	Common Stock		13-APR-2021				4	G	0				187836.0		0.0		D		0.0				D			
0001415889-21-003306	83050	Common Stock		13-APR-2021				4	G	0				187836.0		0.0		A		187836.0				I		By spouse	
0001415889-21-003306	83065	Common Stock		10-JUN-2021				4	G	0				112500.0		0.0		A		571737.0				I		See Footnote	F1
0001415889-21-003306	83052	Common Stock		20-APR-2021				4	G	0				187836.0		0.0		D		0.0				I		By spouse	
