ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001493152-26-014456	/s/ Ong Sie Hou Raymond	31-MAR-2026
0001213900-26-037919	/s/ Huaguang Huang	31-MAR-2026
0001193125-26-135334	s/ Kenneth Yi, as Attorney-in-Fact for John Kent Walker	31-MAR-2026
0001030471-26-000005	Sean Shao	31-MAR-2026
0001062993-26-001774	/s/ Craig Tavares	31-MAR-2026
0001104659-26-038057	/s/ Tomas Kiselak for Fairmount Funds Management LLC	31-MAR-2026
0001193125-26-135314	/s/ Todd Mason, by POA from Angeliki Frangou, Chairwoman of the Board, Chief Executive Officer and Director	31-MAR-2026
0001213900-26-037880	/s/ Dan Brahmy	31-MAR-2026
0000950103-26-005134	/s/ Michal Fridman	31-MAR-2026
0001193125-26-135307	/s/ Christopher Ryan, as attorney-in-fact for Brandon Mintz	31-MAR-2026
0001104659-26-038052	/s/ Jordan Leon, Attorney-in-Fact for Ryan Shea	31-MAR-2026
0001104659-26-038052	/s/ Jordan Leon, Attorney-in-Fact for Trevor Harries-Jones	31-MAR-2026
0001104659-26-038052	/s/ Jordan Leon, Attorney-in- Fact for Idea Tender LLC	31-MAR-2026
0001213900-26-037870	/s/ Yael Sandler, Attorney-in-Fact	31-MAR-2026
0001213900-26-037865	/s/ Tsang Hing Hang Bern	31-MAR-2026
0001213900-26-037861	/s/ Yael Sandler, Attorney-in-Fact	31-MAR-2026
0001213900-26-037857	/s/ Wenquan Zhu	31-MAR-2026
0001213900-26-037856	/s/ Yael Sandler, Attorney-in-Fact	31-MAR-2026
0001213900-26-037850	/s/ Yael Sandler, Attorney-in-Fact	31-MAR-2026
0002005790-26-000012	/s/ Melisa Nelson, as Attorney-in-fact	31-MAR-2026
0001493152-26-014418	/s/ Vishwas Seshadri	31-MAR-2026
0001140361-26-012437	Yorktown XI Associates LLC /s/ Bryan H Lawrence, Managing Member	31-MAR-2026
0001140361-26-012436	Yorktown Energy Partners XI, L.P., by: Yorktown XI Company LP, its general partner, by: Yorktown XI Associates LLC, its general partner, by: /s/ Bryan H Lawrence, Managing Member	31-MAR-2026
0001140361-26-012435	Yorktown IX Associates LLC /s/ Bryan H Lawrence, Managing Member	31-MAR-2026
0001140361-26-012434	Yorktown Energy Partners IX, L.P., by: Yorktown IX Company LP, its general partner, by: Yorktown IX Associates LLC, its general partner, by: /s/ Bryan H Lawrence, Managing Member	31-MAR-2026
0001140361-26-012433	/s/ Bryan H Lawrence	31-MAR-2026
0001193125-26-135284	LIU BIN ROBBIN	31-MAR-2026
0001193125-26-135283	WANG JINGBO	31-MAR-2026
0002125655-26-000001	Zhiyun TAN	31-MAR-2026
0001016817-26-000004	Anastasia Thomas Nardangeli, Esq., on behalf of David D. Smith, by Power of Attorney	31-MAR-2026
0001213900-26-037829	/s/ Yael Sandler	31-MAR-2026
0001213900-26-037828	/s/ Yael Sandler, Attorney-in-Fact	31-MAR-2026
0001493152-26-014414	/s/ Robert Michael DeLucia	31-MAR-2026
0001213900-26-037827	/s/ Yael Sandler, Attorney-in-Fact	31-MAR-2026
0001213900-26-037826	/s/ Yael Sandler, Attorney-in-Fact	31-MAR-2026
0001193125-26-135258	s/ Fadillah Badar, as Attorney-in-Fact for Frances H. Arnold	31-MAR-2026
0001213900-26-037818	/s/ Hiroki Yamamoto	18-MAR-2026
0001213900-26-037813	/s/ Marc Stone, as Attorney-in-Fact	31-MAR-2026
0001833511-26-000012	/s/ Andrew Woods, Attorney-in-Fact	31-MAR-2026
0001193125-26-135255	/s/ Christopher Ryan, as attorney-in-fact for W. Alexander Holmes	31-MAR-2026
0002125577-26-000001	CHUNG HAU LIM	18-MAR-2026
0001104659-26-038038	/s/ Hayley A. Stein, Attorney-in-Fact for David J. Snyderman	31-MAR-2026
0001104659-26-038038	/s/ Hayley A. Stein, Attorney-in-Fact for David J. Snyderman, as Administrative Manager of Supernova Management LLC	31-MAR-2026
0001104659-26-038038	/s/ Hayley A. Stein, Attorney-in-Fact for David J. Snyderman, as Administrative Manager of Supernova Management LLC, which is the General Partner of Magnetar Capital Partners LP	31-MAR-2026
0001104659-26-038038	/s/ Hayley A. Stein, Attorney-in-Fact for David J. Snyderman, as Administrative Manager of Supernova Management LLC, which is the General Partner of Magnetar Capital Partners LP, which is in turn the Sole Member of Magnetar Financial LLC	31-MAR-2026
0001104659-26-038036	/s/ Sissi ZHU as Attorney-in-Fact	31-MAR-2026
0001193125-26-135234	/s/ Christopher Ryan, as attorney-in-fact for David Gray	31-MAR-2026
0001437749-26-010781	/s/ Paul Richards, as attorney-in-fact for D.C. Sauter	31-MAR-2026
0001437749-26-010780	/s/ Paul Richards, as attorney-in-fact for Brian Mitts	31-MAR-2026
0001437749-26-010779	/s/ Paul Richards	31-MAR-2026
0001437749-26-010778	/s/ Paul Richards as attorney-in-fact for Matthew R. McGraner	31-MAR-2026
0001437749-26-010777	/s/ Paul Richards as attorney-in-fact for James D. Dondero	31-MAR-2026
0001752631-26-000002	/s/ Anish Bhatnagar, Attorney-in-Fact	31-MAR-2026
0000895345-26-000137	/s/ Carlos Phillips Margain	31-MAR-2026
0002019992-26-000002	/s/ Anish Bhatnagar, Attorney-in-Fact	31-MAR-2026
