ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001084991-20-000014	148812	Restricted Stock Units			F2	31-MAR-2020				4	M	0				1302.0				0.0		D			F2		F2	Common Stock		1302.0				3904.0				D			
0000919574-20-002666	131474	3.00% / 5.00% Convertible Senior Secured Notes due 2024	F1		F3	27-MAR-2020				4	J	0	F2					27390975.0			F2	A			F3		F3	Common Stock	F4	60094788.0								I		See Footnote	F6, F7
0000919574-20-002666	131473	3.00% / 5.00% Convertible Senior Secured Notes due 2024	F1		F3	27-MAR-2020				4	J	0	F2					28361286.0			F2	A			F3		F3	Common Stock	F4	62223614.0								I		See Footnote	F5, F7
0000919574-20-002666	131472	5.0% / 7.0% Convertible Sr Secured PIK Toggle Notes due 2022	F1		F3	27-MAR-2020				4	J	0	F2					54761953.0			F2	D			F3		F3	Common Stock			F2			0.0		27390975.0		I		See Footnote	F6, F7
0000919574-20-002666	131471	5.0% / 7.0% Convertible Sr Secured PIK Toggle Notes due 2022	F1		F3	27-MAR-2020				4	J	0	F2					56701867.0			F2	D			F3		F3	Common Stock			F2			0.0		28361286.0		I		See Footnote	F5, F7
0001209191-20-021967	127675	Employee Stock Options	F1	196.18		27-MAR-2020				4	A	0				25063.0				196.18		A		27-MAR-2021		27-MAR-2030		Common Stock		25063.0				25063.0				D			
0001209191-20-021966	99011	Employee Stock Options	F1	196.18		27-MAR-2020				4	A	0				20886.0				196.18		A		27-MAR-2021		27-MAR-2030		Common Stock		20886.0				20886.0				D			
0001209191-20-021964	96047	Employee Stock Options	F1	196.18		27-MAR-2020				4	A	0				25063.0				196.18		A		27-MAR-2021		27-MAR-2030		Common Stock		25063.0				25063.0				D			
0001179110-20-004286	124761	Restricted Stock Units			F1	27-MAR-2020				4	A	0				35000.0				0.0		A			F4		F4	Common Stock		35000.0				35000.0				D			
0001179110-20-004286	124760	Restricted Stock Units			F1	27-MAR-2020				4	A	0				36666.0				0.0		A			F3		F3	Common Stock		36666.0				36666.0				D			
0001179110-20-004286	124759	Restricted Stock Units			F1	27-MAR-2020				4	A	0				36666.0				0.0		A			F2		F2	Common Stock		36666.0				36666.0				D			
0001179110-20-004285	101157	Stock Options (right to buy)		25.46		27-MAR-2020				4	A	0				128500.0				0.0		A			F1	26-MAR-2030		Common Stock		128500.0				128500.0				D			
0001179110-20-004285	101158	Stock Options (right to buy)		25.46		27-MAR-2020				4	A	0				128500.0				0.0		A			F2	26-MAR-2030		Common Stock		128500.0				128500.0				D			
0001179110-20-004284	105162	Restricted Stock Units			F1	27-MAR-2020				4	A	0				7150.0				0.0		A			F2		F2	Common Stock		7150.0				7150.0				D			
0001179110-20-004284	105163	Restricted Stock Units			F1	27-MAR-2020				4	A	0				7150.0				0.0		A			F3		F3	Common Stock		7150.0				7150.0				D			
0001179110-20-004283	130469	Restricted Stock Units			F3	27-MAR-2020				4	A	0				37500.0				0.0		A			F7		F7	Common Stock		37500.0				37500.0				D			
0001179110-20-004283	130468	Restricted Stock Units			F3	27-MAR-2020				4	A	0				82930.0				0.0		A			F6		F6	Common Stock		82930.0				82930.0				D			
0001179110-20-004283	130467	Restricted Stock Units			F3	27-MAR-2020				4	A	0				37500.0				0.0		A			F5		F5	Common Stock		37500.0				37500.0				D			
0001179110-20-004283	130466	Restricted Stock Units			F3	27-MAR-2020				4	A	0				82930.0				0.0		A			F4		F4	Common Stock		82930.0				82930.0				D			
0001179110-20-004283	130465	Stock Option (right to buy)		25.46		27-MAR-2020				4	A	0				75000.0				0.0		A			F2	26-MAR-2030		Common Stock		75000.0				75000.0				D			
0001179110-20-004283	130464	Stock Option (right to buy)		25.46		27-MAR-2020				4	A	0				75000.0				0.0		A			F1	26-MAR-2030		Common Stock		75000.0				75000.0				D			
0001179110-20-004282	95673	Restricted Stock Units			F1	27-MAR-2020				4	A	0				43990.0				0.0		A			F3		F3	Common Stock		43990.0				43990.0				D			
0001179110-20-004282	95672	Restricted Stock Unit			F1	27-MAR-2020				4	A	0				43990.0				0.0		A			F2		F2	Common Stock		43990.0				43990.0				D			
0001179110-20-004282	95674	Restricted Stock Unit			F1	27-MAR-2020				4	A	0				35000.0				0.0		A			F4		F4	Common Stock		35000.0				35000.0				D			
0001084991-20-000012	96586	Restricted Stock Units			F2	29-MAR-2020				4	M	0				10973.0				0.0		D			F2		F2	Common Stock		10973.0				31263.0				D			
0001618563-20-000046	142575	Class A OP Units			F7	27-MAR-2020				4	A	0				58376.0	F10			25.06		A			F7		F9	Common shares of beneficial interest, $0.01 par value		58376.0	F2, F1			2802184.0	F10			D			
0001618563-20-000046	142574	Class B OP Units, Series MI			F6, F5, F7	29-MAY-2019				4	P	0				10936.0	F8				F6, F5, F7	A			F6, F5, F7		F9	Class A OP Units		10936.0				163128.0	F8			D			
0001209191-20-021962	99549	2015 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				186.24				0.0		A			F2		F2	Class A Common Stock		186.24				4601.32				D			
0001209191-20-021962	99550	2016 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				255.35				0.0		A			F3		F3	Class A Common Stock		255.35				6308.67				D			
0001209191-20-021962	99553	2019 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				646.03				0.0		A			F6		F6	Class A Common Stock		646.03				15961.03				D			
0001209191-20-021962	99552	2018 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				421.41				0.0		A			F5		F5	Class A Common Stock		421.41				10411.57				D			
0001209191-20-021962	99551	2017 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				308.14				0.0		A			F4		F4	Class A Common Stock		308.14				7613.03				D			
0001209191-20-021960	95313	2015 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				264.0				0.0		A			F2		F2	Class A Common Stock		264.0				6522.46				D			
0001209191-20-021960	95314	2016 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				351.81				0.0		A			F3		F3	Class A Common Stock		351.81				8692.01				D			
0001209191-20-021960	95317	2019 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				1092.87				0.0		A			F6		F6	Class A Common Stock		1092.87				27000.87				D			
0001209191-20-021960	95316	2018 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				649.81				0.0		A			F5		F5	Class A Common Stock		649.81				16054.5				D			
0001209191-20-021960	95315	2017 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				486.63				0.0		A			F4		F4	Class A Common Stock		486.63				12022.8				D			
0001209191-20-021954	110305	2015 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				1202.06				0.0		A			F2		F2	Class A Common Stock		1202.06				29698.54				D			
0001209191-20-021954	110306	2016 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				1957.8				0.0		A			F3		F3	Class A Common Stock		1957.8				48370.02				D			
0001209191-20-021954	110309	2019 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				2745.68				0.0		A			F6		F6	Class A Common Stock		2745.68				67835.68				D			
0001209191-20-021954	110308	2018 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				2126.76				0.0		A			F5		F5	Class A Common Stock		2126.76				52544.46				D			
0001209191-20-021954	110307	2017 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				2390.01				0.0		A			F4		F4	Class A Common Stock		2390.01				59048.3				D			
0001209191-20-021953	136674	Non-Qualified Stock Option (right to buy)		13.81		30-MAR-2020				4	M	0				37705.0				0.0		D		04-MAR-2014		04-FEB-2021		Common Stock		37705.0				450000.0				D			
0001209191-20-021951	101056	Stock Option (right to buy)		12.76		19-MAR-2020				4	A	0				120000.0	F3			0.0		A			F4	18-MAR-2030		Common Stock		120000.0	F3			120000.0	F3			D			
0001209191-20-021949	134483	2015 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				1932.73				0.0		A			F2		F2	Class A Common Stock		1932.73				47750.65				D			
0001209191-20-021949	134484	2016 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				1957.8				0.0		A			F3		F3	Class A Common Stock		1957.8				48370.02				D			
0001209191-20-021949	134488	2019 LTI RSUs		0.0	F1	27-MAR-2020				4	A	0				5168.36				0.0		A			F7		F7	Class A Common Stock		5168.36				127691.36				D			
0001209191-20-021949	134486	2017 Long Term Incentive Award		0.0	F1	27-MAR-2020				4	A	0				575.87				0.0		A			F5		F5	Class A Common Stock		575.87				14227.68				D			
0001209191-20-021949	134487	2018 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				3761.19				0.0		A			F6		F6	Class A Common Stock		3761.19				92925.18				D			
0001209191-20-021949	134485	2017 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				2390.01				0.0		A			F4		F4	Class A Common Stock		2390.01				59048.3				D			
0001209191-20-021942	108748	2015 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				1202.06				0.0		A			F2		F2	Class A Common Stock		1202.06				29698.54				D			
0001209191-20-021942	108749	2016 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				1957.8				0.0		A			F3		F3	Class A Common Stock		1957.8				48370.02				D			
0001209191-20-021942	108752	2019 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				8344.81				0.0		A			F6		F6	Class A Common Stock		8344.81				206169.81				D			
0001209191-20-021942	108751	2018 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				4332.31				0.0		A			F5		F5	Class A Common Stock		4332.31				107035.44				D			
0001209191-20-021942	108750	2017 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				2390.01				0.0		A			F4		F4	Class A Common Stock		2390.01				59048.3				D			
0001209191-20-021938	118586	2015 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				287.57				0.0		A			F2		F2	Class A Common Stock		287.57				7104.92				D			
0001209191-20-021938	118587	2016 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				397.25				0.0		A			F3		F3	Class A Common Stock		397.25				9814.66				D			
0001209191-20-021938	118590	2019 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				1534.36				0.0		A			F6		F6	Class A Common Stock		1534.36				37908.36				D			
0001209191-20-021938	118589	2018 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				740.43				0.0		A			F5		F5	Class A Common Stock		740.43				18293.28				D			
0001209191-20-021938	118588	2017 Incentive RSUs		0.0	F1	27-MAR-2020				4	A	0				575.87				0.0		A			F4		F4	Class A Common Stock		575.87				14227.68				D			
0001209191-20-021933	140547	2015 Incentive RSUs Granted in 2015 (Quarterly Awards)		0.0	F1	27-MAR-2020				4	A	0				282.34				0.0		A			F2		F2	Class A Common Stock		282.34				6975.65				D			
