ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001437749-24-025811	1919106	Stock Option (Right to Buy)		36.26					F1	31-JAN-2030		Common Stock		120.0				120.0				D			
0001437749-24-025811	1919105	Stock Option (Right to Buy)		33.5					F1	25-JAN-2029		Common Stock		250.0				250.0				D			
0001437749-24-025811	1919109	Stock Option (Right to Buy)		39.89					F3	26-JAN-2034		Common Stock		259.0				259.0				D			
0001437749-24-025811	1919108	Stock Option (Right to Buy)		40.13					F2	27-JAN-2033		Common Stock		1800.0				1800.0				D			
0001127602-24-021931	1836591	Option (April 2017)	F4	39.55				03-APR-2020		03-APR-2027		Common Stock		5000.0				5000.0				D			
0001127602-24-021931	1836596	Restricted Stock Unit (MSPP)	F13		F14				F14		F14	Common Stock		8056.93				8056.93				D			
0001127602-24-021931	1836593	Restricted Stock Unit (MSPP Match Post-2012)	F7		F8				F8		F8	Common Stock		17676.58				17676.58				D			
0001127602-24-021931	1836594	Restricted Stock Unit (MSPP Match)	F9		F10				F10		F10	Common Stock		3208.76				3208.76				D			
0001127602-24-021931	1836595	Restricted Stock Unit (MSPP Post-2012)	F11		F12				F12		F12	Common Stock		26097.47				26097.47				D			
0001127602-24-021931	1836592	Restricted Stock Unit (2018 MSPP Match)	F5		F6				F6		F6	Common Stock		15050.02				15050.02				D			
0001127602-24-021929	1947923	Hypothetical Shares			F4				F5		F5	Common Stock, $.25 Par Value		10944.0				10944.0	F6			I		By Supplemental 401(k) Plan	
0001415889-24-021034	1956757	Common Stock (Right to buy)		46.94					F5	21-FEB-2033		Common		7500.0				7500.0				D			
0001493152-24-030845	1897364	Warrant (Right to Buy)		429.0				01-JUL-2022		01-JUL-2032		Class A Common Stock		15.0	F1							D			
0001654954-24-010193	1822071	Stock Option (right to buy)		3200.0	F7			10-JUN-2022		10-JUN-2031		Common Stock		4.0	F7			4.0	F7			D			
0001654954-24-010193	1822069	Stock Option (right to buy)		9968.0	F5			01-MAY-2019		01-MAY-2028		Common Stock		1.0	F5			1.0	F5			D			
0001654954-24-010193	1822070	Stock Option (right to buy)		1056.0	F6			01-MAY-2021		01-MAY-2030		Common Stock		1.0	F6			1.0	F6			D			
0001654954-24-010193	1822072	Stock Option (right to buy)		992.0	F8			09-JUN-2023		09-JUN-2032		Common Stock		4.0	F8			4.0	F8			D			
0001654954-24-010192	1773874	Stock Option (right to buy)		992.0	F5			09-JUN-2023		09-JUN-2032		Common Stock		4.0	F5			4.0	F5			D			
0001654954-24-010192	1773875	Stock Option (right to buy)		3200.0	F6			10-JUN-2022		10-JUN-2032		Common Stock		4.0	F6			4.0	F6			D			
0000950170-24-094277	1834340	Conditional Share Award	F1		F1				F3		F3	Common Stock		70.0								I			
0000950170-24-094277	1834339	Conditional Share Award	F1		F1				F2		F2	Common Stock		51.0								I			
0000950170-24-094277	1834337	Conditional Share Award	F1		F1				F3		F3	Common Stock		493.0								D		By spouse	
0000950170-24-094277	1834336	Conditional Share Award	F1		F1				F2		F2	Common Stock		362.0								D		By spouse	
0000950170-24-094277	1834338	Conditional Share Award	F1		F1				F4		F4	Common Stock		377.0								D		By spouse	
0000950170-24-094277	1834341	Conditional Share Award	F1		F1				F4		F4	Common Stock		48.0								I			
0001517375-24-000106	1932621	Class B Common Stock			F9				F9		F9	Class A Common Stock		518874.0				518874.0				D			
0000014693-24-000148	1829938	Stock Appreciation Right		70.24				01-MAY-2024		30-APR-2031		Class  B Common		1840.0								D			
0000014693-24-000148	1829939	Stock Appreciation Right		73.61				01-MAY-2025		30-APR-2032		Class  B Common		3741.0								D			
0000014693-24-000148	1829940	Stock Appreciation Right		69.87				01-MAY-2026		30-APR-2033		Class  B Common		3695.0								D			
0000014693-24-000148	1829941	Stock Appreciation Right		45.07				01-MAY-2027		30-APR-2024		Class  B Common		6418.0								D			
0001493152-24-030820	1720805	8% Senior Secured Convertible Promissory Note due 2026		0.15				01-AUG-2024		23-JAN-2026		Common Stock		16000000.0								I		See Footnote	F1
0000897069-24-001642	1955551	Warrant to Purchase Common Stock		1.5					F1	31-DEC-2025		Common Stock		500000.0								D			
0000897069-24-001642	1955553	12% Convertible Note		0.76					F2	31-DEC-2025		Common Stock		2637826.0								D			
0000897069-24-001642	1955552	Warrant to Purchase Common Stock		1.0					F1	31-DEC-2025		Common Stock		1000000.0								D			
0000950170-24-094127	1849221	Stock Option		21.0				02-OCT-2023		02-OCT-2033		Common Stock		1250.0								D			
0001062993-24-014671	1885291	Employee Stock Options-Right to Buy			F2				F2		F2	Common Stock		0.0	F2			123096.0				D			
0001062993-24-014670	1874010	Employee Stock Options-Right to Buy			F2				F2		F2	Common Stock		0.0	F2			84850.0				D			
0001739237-24-000002	1852250	Non-Qualified Stock Option (right to buy)		45.06				02-MAY-2019		02-MAY-2028		Common Stock		7500.0				7500.0				D			
0001739237-24-000002	1852251	Non-Qualified Stock Option (right to buy)		50.94				18-FEB-2021		18-FEB-2030		Common Stock		18400.0				18400.0				D			
0001739237-24-000002	1852254	Restricted Stock Unit		0.0				22-FEB-2023		22-FEB-2025		Common Stock		2134.0				2134.0				D			
0001739237-24-000002	1852252	Non-Qualified Stock Option (right to buy)		51.49				19-FEB-2020		19-FEB-2029		Common Stock		18100.0				18100.0				D			
0001739237-24-000002	1852255	Restricted Stock Unit		0.0				21-FEB-2024		21-FEB-2026		Common Stock		4660.0				4660.0				D			
0001739237-24-000002	1852253	Restricted Stock Unit		0.0				20-FEB-2025		20-FEB-2025		Common Stock		6973.0				6973.0				D			
0000950170-24-094041	1851413	Performance Units			F10				F10	01-MAR-2034		Common Stock		4395.0				4395.0				D			
0000950170-24-094041	1851412	Performance Units			F9				F9	01-MAR-2034		Common Stock		2197.0				2197.0				D			
0000950170-24-094041	1851411	Performance Units			F8				F8	01-MAR-2034		Common Stock		21978.0				21978.0				D			
0000950170-24-094041	1851410	Performance Units			F7				F7	01-MAR-2034		Common Stock		2660.0				2660.0				D			
