ACCESSION_NUMBER	NONDERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001828318-24-000207	8447352	Common Stock		26-SEP-2024				4	G	0				3782.0	F1	0.0		D		11346.0	F2			D		Trust	F3
0001828318-24-000207	8447353	Common Stock		26-SEP-2024				4	A	0				3782.0	F1	0.0		A		20789919.0				I			
0001850356-24-000008	8121370	Common Stock		27-SEP-2024				4	F	0				22046.0	F1	5.89		D		436735.0				D			
0001415889-24-024119	7280309	Common Stock		27-SEP-2024				4	S	0				8894.0		46.42	F6	D		546833.0				I		By Avalon BioVentures I, LP	F3
0001415889-24-024119	7280323	Common Stock		30-SEP-2024				4	S	0				958.0		46.24	F10	D		6887.0				D	F8		
0001415889-24-024119	7280322	Common Stock		30-SEP-2024				4	M	0				123.0		39.8		A		7845.0				D	F8		
0001415889-24-024119	7280321	Common Stock		30-SEP-2024				4	M	0				181.0		13.22		A		7722.0				D	F8		
0001415889-24-024119	7280320	Common Stock		30-SEP-2024				4	M	0				181.0		10.73		A		7541.0				D	F8		
0001415889-24-024119	7280319	Common Stock		30-SEP-2024				4	M	0				434.0		17.0		A		7360.0				D	F8		
0001415889-24-024119	7280302	Common Stock		26-SEP-2024				4	S	0				49497.0		46.78	F1	D		2909678.0				D	F2		
0001415889-24-024119	7280303	Common Stock		26-SEP-2024				4	S	0				9592.0		46.78	F1	D		563635.0				I		By Avalon BioVentures I, LP	F3
0001415889-24-024119	7280304	Common Stock		26-SEP-2024				4	S	0				50539.0		46.78	F1	D		2970875.0				I		By Avalon BioVentures SPV I, L.P.	F4
0001415889-24-024119	7280305	Common Stock		26-SEP-2024				4	S	0				40803.0		47.77	F5	D		2868875.0				D	F2		
0001415889-24-024119	7280306	Common Stock		26-SEP-2024				4	S	0				7908.0		47.77	F5	D		555727.0				I		By Avalon BioVentures I, LP	F3
0001415889-24-024119	7280307	Common Stock		26-SEP-2024				4	S	0				41661.0		47.77	F5	D		2929214.0				I		By Avalon BioVentures SPV I, LP	F4
0001415889-24-024119	7280308	Common Stock		27-SEP-2024				4	S	0				45894.0		46.42	F6	D		2822981.0				D	F2		
0001415889-24-024119	7280310	Common Stock		27-SEP-2024				4	S	0				46861.0		46.42	F6	D		2882353.0				I		By Avalon BioVentures SPV I, L.P.	F4
0001415889-24-024119	7280311	Common Stock		27-SEP-2024				4	S	0				1511.0		47.74	F7	D		2821470.0				D	F2		
0001415889-24-024119	7280312	Common Stock		27-SEP-2024				4	S	0				293.0		47.74	F7	D		546540.0				I		By Avalon BioVentures I, LP	F3
0001415889-24-024119	7280313	Common Stock		27-SEP-2024				4	S	0				1542.0		47.74	F7	D		2880811.0				I		By Avalon BioVentures SPV I, L.P.	F4
0001415889-24-024119	7280314	Common Stock		27-SEP-2024				4	M	0				828.0		17.0		A		7828.0				D	F8		
0001415889-24-024119	7280315	Common Stock		27-SEP-2024				4	M	0				345.0		10.73		A		8173.0				D	F8		
0001415889-24-024119	7280316	Common Stock		27-SEP-2024				4	M	0				345.0		13.22		A		8518.0				D	F8		
0001415889-24-024119	7280317	Common Stock		27-SEP-2024				4	M	0				234.0		39.8		A		8752.0				D	F8		
0001415889-24-024119	7280318	Common Stock		27-SEP-2024				4	S	0				1826.0		46.19	F9	D		6926.0				D	F8		
0000950170-24-110504	7763511	2023 Annual Restricted Stock Units		26-SEP-2024				4	A	false				21.19			F2, F1	A		2464.92				D			
0000950170-24-110504	7763512	2024 Annual Restricted Stock Units		26-SEP-2024				4	A	false				16.8			F3, F1	A		1954.8				D			
0000950170-24-110504	7763513	2024 Elective Restricted Stock Units		26-SEP-2024				4	A	false				9.2			F4, F1	A		1070.2				D			
0000950170-24-110502	7548248	2023 Annual Restricted Stock Units		26-SEP-2024				4	A	false				22.19			F1, F2	A		2582.1				D			
0000950170-24-110502	7548250	2024 Elective Restricted Stock Units		26-SEP-2024				4	A	false				2.07			F4, F1	A		241.07				D			
0000950170-24-110502	7548249	2024 Annual Restricted Stock Units		26-SEP-2024				4	A	false				17.6			F3, F1	A		2047.6				D			
0000950170-24-110500	7149105	2024 Elective Restricted Stock Units		26-SEP-2024				4	A	false				9.2			F1, F4	A		1070.2				D			
0000950170-24-110500	7149103	2023 Annual Restricted Stock Units		26-SEP-2024				4	A	false				21.19			F2, F1	A		2464.92				D			
0000950170-24-110500	7149104	2024 Annual Restricted Stock Units		26-SEP-2024				4	A	false				16.8			F3, F1	A		1954.8				D			
0001415889-24-024118	8728026	Class A Common Stock		26-SEP-2024				4	S	0				51924.0	F2	31.41		D		493360.0				D			
0001415889-24-024118	8728025	Class A Common Stock		26-SEP-2024				4	C	0				101875.0		0.0		A		545284.0	F1			D			
0001415889-24-024117	7911259	Common Stock		30-SEP-2024				4	S	0	F1			40000.0		14.06	F2	D		81000.0				D			
0001415889-24-024117	7911258	Common Stock		30-SEP-2024				4	M	0				40000.0		10.48		A		121000.0				D			
0001415889-24-024116	8175362	Class A Common Stock		26-SEP-2024				4	S	0	F3			21527.0		31.59	F5	D		462545.0				D			
0001415889-24-024116	8175361	Class A Common Stock		26-SEP-2024				4	S	0	F3			28473.0		30.94	F4	D		484072.0				D			
0001415889-24-024116	8175360	Class A Common Stock		26-SEP-2024				4	S	0				54672.0	F2	31.41		D		512545.0				D			
0001415889-24-024116	8175359	Class A Common Stock		26-SEP-2024				4	C	0				125000.0		0.0		A		567217.0	F1			D			
