ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001610717-24-000376	3037818	Stock Option (Right to Buy)		37.54		20-JUN-2024				4	A	0				15955.0				0.0		A			F2	19-JUN-2034		Common Stock		15955.0				15955.0				D			
0000912282-24-000520	2906806	Restricted Stock Units			F1	26-JUN-2024				4	A	0				805264.0				0.0		A			F3		F3	Common Shares		805264.0				805264.0				D			
0000912282-24-000520	2906805	Restricted Stock Units			F1	26-JUN-2024				4	M	0				309091.0				0.0		D			F2		F2	Common Shares		309091.0				0.0				D			
0001610717-24-000375	3289276	Stock Option (Right to Buy)		37.54		20-JUN-2024				4	A	0				15955.0				0.0		A			F2	19-JUN-2034		Common Stock		15955.0				15955.0				D			
0001610717-24-000374	3209006	Stock Option (Right to Buy)		37.54		20-JUN-2024				4	A	0				15955.0				0.0		A			F2	19-JUN-2034		Common Stock		15955.0				15955.0				D			
0000950170-24-079138	3240141	Forward Sale Contract (obligation to sell)			F7, F9, F8	28-JUN-2024				4	J	false	F7, F9, F8			2259247.0					F7, F9, F8	D			F7, F9, F8		F7, F9, F8	Class A Common Stock		2259247.0				0.0				I		See footnote	F2, F1
0000950170-24-079138	3240142	LLC Interests			F10	28-JUN-2024				4	C	false	F7, F9, F8			2259247.0				0.0		D			F10		F10	Class A Common Stock		2259247.0				19390785.0				I		See footnote	F2, F1
0000950170-24-079138	3240139	Forward Sale Contract (obligation to sell)			F4, F5, F6	28-JUN-2024				4	J	false	F4, F5, F6			2178984.0					F4, F5, F6	D			F4, F5, F6		F4, F5, F6	Class A Common Stock		2178984.0				0.0				I		See footnote	F2, F1
0000950170-24-079138	3240140	LLC Interests			F10	28-JUN-2024				4	C	false	F4, F5, F6			2178984.0				0.0		D			F10		F10	Class A Common Stock		2178984.0				21650032.0				I		See footnote	F2, F1
0001610717-24-000373	3057747	Stock Option (Right to Buy)		37.54		20-JUN-2024				4	A	0				10248.0				0.0		A			F2	19-JUN-2034		Common Stock		10248.0				10248.0				D			
0000921895-24-001488	2988666	Stock Option (Right to Buy)	F5	31.2		18-JUN-2024				4	A	0				16000.0				0.0		A			F6	17-JUN-2034		Common Stock, $0.0001 par value		16000.0				16000.0				I	F5	See footnote	F5
0001127602-24-019404	2904456	Stock Option		51.13		27-JUN-2024				4	A	0				2500000.0				0.0		A		27-JUN-2024		20-JUL-2025		Common Stock		2500000.0				2500000.0	F1			D			
0000912282-24-000518	2996832	Common Shares			F1	26-JUN-2024				4	A	0				805264.0				0.0		A			F3		F3	Common Shares		805264.0				805264.0				D			
0000912282-24-000518	2996831	Common Shares			F1	26-JUN-2024				4	M	0				309091.0				0.0		D			F2		F2	Common Shares		309091.0				0.0				D			
0001225208-24-007022	3223644	Phantom Stock			F1	28-JUN-2024				4	A	0				250.07				70.48		A			F1		F1	Common Stock		250.07				468.66				D			
0001127602-24-019402	2920372	Stock Option		51.13		27-JUN-2024				4	A	0				2500000.0				0.0		A		27-JUN-2024		20-JUL-2025		Common Stock		2500000.0				2500000.0	F1			D			
0000912282-24-000516	2752807	Restricted Stock Units			F1	26-JUN-2024				4	A	0				805264.0				0.0		A			F3		F3	Common Shares		805264.0				805264.0				D			
0000912282-24-000516	2752806	Restricted Stock Units			F1	26-JUN-2024				4	M	0				309091.0				0.0		D			F2		F2	Common Shares		309091.0				0.0				D			
0000912282-24-000514	2685544	Restricted Stock Units			F1	26-JUN-2024				4	A	0				805264.0				0.0		A			F3		F3	Common Shares		805264.0				805264.0				D			
0000912282-24-000514	2685543	Restricted Stock Units			F1	26-JUN-2024				4	M	0				309091.0				0.0		D			F2		F2	Common Shares		309091.0				0.0				D			
0000912282-24-000512	3010214	Restricted Stock Units			F1	26-JUN-2024				4	A	0				805264.0				0.0		A			F3		F3	Common Shares		805264.0				805264.0				D			
0000912282-24-000512	3010213	Restricted Stock Units			F1	26-JUN-2024				4	M	0				309091.0				0.0		D			F2		F2	Common Shares		309091.0				0.0				D			
0001415889-24-018459	2731371	Stock Option (right to buy)		1.33		26-JUN-2024				4	M	0				156536.0				0.0		D		01-MAY-2017		15-MAR-2027		Class A Common Stock		156536.0				511073.0				D			
0001415889-24-018459	2731370	Stock Option (right to buy)		1.31		26-JUN-2024				4	M	0				76167.0				0.0		D		18-FEB-2019		03-MAY-2026		Class A Common Stock		76167.0				0.0				D			
0000107140-24-000132	2859928	Phantom Stock Units			F1	27-JUN-2024				4	A	0				421.0				40.04		A			F2		F2	Class A Common		421.0				32105.0				D			
0001415889-24-018458	2934081	Employee Stock Option (right to buy)		14.23		16-MAY-2024				4	A	0				297000.0				0.0		A			F1	15-MAY-2034		Common Stock		297000.0				297000.0				D			
0001415889-24-018457	2890271	Employee Option Grant (right to buy)		4.2		26-JUN-2024				4	M	0				10000.0				0.0		D			F3	27-JUL-2032		Common Stock		10000.0				165962.0				D			
0000950170-24-079120	2800539	Class B Common Stock, par value $0.01			F1	27-JUN-2024				4	C	false				5328543.0					F1	D			F1		F1	Class A common stock, par value $0.01		5328543.0				275984813.0				I		See footnotes	F2, F3
0000950170-24-079120	2800538	Class B Common Stock, par value $0.01			F1	26-JUN-2024				4	C	false				17550000.0					F1	D			F1		F1	Class A common stock, par value $0.01		17550000.0				281313356.0				I		See footnotes	F2, F3
0001127602-24-019384	2797222	Non-qualified Stock Option (Right to Buy)		292.13		27-JUN-2024				4	A	0				11126.0				0.0		A			F1	27-JUN-2034		Common Stock		11126.0				11126.0				D			
0001628280-24-030504	2630964	Restricted Stock Units			F1	27-JUN-2024				4	A	0				1957.0					F1	A			F1	15-DEC-2026		Class B Common Stock	F2	1957.0				4916295.0				I		See Footnote	F3
0001581296-24-000004	3119119	Operating Partnership Units	F1		F2	26-JUN-2024				4	G	0				3021.0				0.0		D			F3		F3	Common Stock, par value $0.01		3021.0				106741.0	F4			D			
0001415889-24-018455	2770151	Class B Common Stock			F1	26-JUN-2024				4	G	0	F2			16298707.0				0.0		D			F1		F1	Class A Common Stock		16298707.0				15104784.0				D			
0001127602-24-019382	2849049	Non-qualified Stock Option (Right to Buy)		292.13		27-JUN-2024				4	A	0				34485.0				0.0		A			F1	27-JUN-2034		Common Stock		34485.0				34485.0				D			
0001415889-24-018453	2669290	Class B Common Stock			F7	26-JUN-2024				4	G	0	F8			16298707.0				0.0		A			F7		F7	Class A Common Stock		16298707.0				26580125.0				D			
0001415889-24-018453	2669289	Class B Common Stock			F7	26-JUN-2024				4	G	0	F8			16298707.0				0.0		D			F7		F7	Class A Common Stock		16298707.0				15104784.0				I		I	F8
0001415889-24-018452	3180423	Stock Option (Right to Buy)		39.8		26-JUN-2024				4	A	0				8350.0				0.0		A			F6	25-JUN-2034		Common Stock		8350.0				8350.0				I		See Footnotes	F2, F3
0001127602-24-019380	3157547	Non-qualified Stock Option (Right to Buy)		292.13		27-JUN-2024				4	A	0				11126.0				0.0		A			F1	27-JUN-2034		Common Stock		11126.0				11126.0				D			
0000950170-24-079108	3073906	Class A Common Stock			F2	28-JUN-2024				4	C	false				8674.0					F3	D			F3		F3	See footnote	F2		F2			207963.0				D			
0000950170-24-079103	3239214	Employee Stock Options	F2	272.38		14-FEB-2024				4	A	false				12517.0				272.38		A		14-FEB-2025		14-FEB-2034		Common Stock		0.0				12517.0				D			
0000937556-24-000053	2939990	Restricted Stock Units			F1	26-JUN-2024				4	M	0				1228.0				0.0		D			F2	25-JUN-2033		Common Stock		1228.0				0.0				D			
0001127602-24-019377	3042483	Non-qualified Stock Option (Right to Buy)		292.13		27-JUN-2024				4	A	0				11126.0				0.0		A			F1	27-JUN-2034		Common Stock		11126.0				11126.0				D			
0001437749-24-021594	3276283	Deferred Stock Units			F1	30-JUN-2024				4	A	0				706.0	F2			8.28		A			F3		F3	Common Stock		706.0				49459.0				D			
0000950170-24-079100	3037996	Employee Stock Options	F2	272.38		14-FEB-2024				4	A	false				12517.0				272.38		A		14-FEB-2025		14-FEB-2034		Common Stock		0.0				12517.0				D			
0001415889-24-018444	2986433	Restricted Stock Unit		0.0	F2	26-JUN-2024				4	A	0				630.0				0.0		A		26-JUN-2025	F1		F1	Common Stock		630.0				630.0				D			
0001415889-24-018444	2986432	Stock Options		318.95		26-JUN-2024				4	A	0				1520.0				0.0		A		26-JUN-2025	F1	26-JUN-2034	F1	Common Stock		1520.0				1520.0				D			
0001415889-24-018443	2763319	Stock Option (right to buy)		39.8		26-JUN-2024				4	A	0				8350.0				0.0		A			F5	25-JUN-2034		Common Stock		8350.0				8350.0				D			
0001415889-24-018442	2800455	Stock Option (right to buy)		39.8		26-JUN-2024				4	A	0				8350.0				0.0		A			F2	25-JUN-2034		Common Stock		8350.0				8350.0				D			
0001415889-24-018441	2999343	Stock Option (right to buy)		39.8		26-JUN-2024				4	A	0				8350.0				0.0		A			F2	25-JUN-2034		Common Stock		8350.0				8350.0				D			
0001415889-24-018440	2736190	Stock Option (right to buy)		39.8		26-JUN-2024				4	A	0				8350.0				0.0		A			F2	25-JUN-2034		Common Stock		8350.0				8350.0				D			
0001415889-24-018439	2830868	Stock Option (right to buy)		39.8		26-JUN-2024				4	A	0				8350.0				0.0		A			F2	25-JUN-2034		Common Stock		8350.0				8350.0				D			
0001415889-24-018438	3255535	Stock Option (right to buy)		39.8		26-JUN-2024				4	A	0				8350.0				0.0		A			F3	25-JUN-2034		Common Stock		8350.0				8350.0				D	F2		
0001415889-24-018437	3087135	Stock Option (right to buy)		39.8		26-JUN-2024				4	A	0				8350.0				0.0		A			F2	25-JUN-2034		Common Stock		8350.0				8350.0				D			
0001415889-24-018436	3184905	Stock Options		129.49		27-JUN-2024				4	M	0	F1			3600.0				0.0		D		31-DEC-2014		31-DEC-2024		Common Stock		3600.0				144269.0				D			
0001415889-24-018436	3184904	Stock Options		129.49		26-JUN-2024				4	M	0	F1			3600.0				0.0		D		31-DEC-2014		31-DEC-2024		Common Stock		3600.0				147869.0				D			
0001415889-24-018435	3063438	Stock Options		175.43		26-JUN-2024				4	M	0				7500.0				0.0		D		26-JUN-2016		26-JUN-2025		Common Stock		7500.0				7500.0				D			
0001437749-24-021590	2671972	Performance Units			F1	26-JUN-2024				4	M	0				3153.65				0.0		D			F1		F1	Common Stock		3153.65				29527.79				D			
0000950170-24-079088	2647027	Stock Option (Right to Buy)		37.76		26-JUN-2024				4	A	false				2410.0				37.76		A			F1	24-APR-2034		Common Stock		2410.0				2410.0				D			
0001437749-24-021588	2937263	Performance Units			F1	26-JUN-2024				4	M	0				4138.33				0.0		D			F1		F1	Common Stock		4138.33				35905.94				D			
0001127602-24-019372	2858482	Non-qualified Stock Option (Right to Buy)		292.13		27-JUN-2024				4	A	0				2210.0				0.0		A			F1	27-JUN-2034		Common Stock		2210.0				2210.0				D			
0001158449-24-000168	2969643	Stock Option (right to buy)		62.7		27-JUN-2024				4	A	0				9812.0				0.0		A			F2	27-JUN-2034		Common Stock		9812.0				9812.0				D			
0000950170-24-079085	3078952	Employee Stock Options	F3	272.38		14-FEB-2024				4	A	false				10431.0				272.38		A		14-FEB-2025		14-FEB-2034		Common stock		10431.0				10431.0				D			
0001127602-24-019370	2877396	Non-qualified Stock Option (Right to Buy)		292.13		27-JUN-2024				4	A	0				13933.0				0.0		A			F1	27-JUN-2034		Common Stock		13933.0				13933.0				D			
0000950170-24-079084	2826489	Stock Option (Right to Buy)		12.31		26-JUN-2024				4	A	false				21000.0				0.0		A			F1	26-JUN-2034		Common Stock		21000.0				21000.0				D			
0000950170-24-079083	3196289	Employee Stock Options	F2	272.38		14-FEB-2024				4	A	false				3130.0				272.38		A		14-FEB-2025		14-FEB-2034		Common Stock		3130.0				3130.0				D			
0001437749-24-021585	2696087	Restricted Stock Units			F1	28-JUN-2024				4	M	0				1373.0					F1	D			F3		F3	Common Stock		1373.0				0.0				D			
0001437749-24-021585	2696088	Dividend Equivalent Right			F4	28-JUN-2024				4	M	0				60.0					F1	D			F3		F3	Common Stock		60.0				0.0				D			
0001127602-24-019366	2999475	Non-qualified Stock Option (Right to Buy)		292.13		27-JUN-2024				4	A	0				11126.0				0.0		A			F1	27-JUN-2034		Common Stock		11126.0				11126.0				D			
0001127602-24-019364	2672513	Non-qualified Stock Option (Right to Buy)		292.13		27-JUN-2024				4	A	0				11126.0				0.0		A			F1	27-JUN-2034		Common Stock		11126.0				11126.0				D			
0000921895-24-001487	2878764	Restricted Stock Unit			F1	26-JUN-2024				4	A	0				25000.0				0.0		A			F2		F2	Common Stock		25000.0				25000.0				D			
0000921895-24-001486	3056105	Restricted Stock Unit			F1	26-JUN-2024				4	A	0				20000.0				0.0		A			F2		F2	Common Stock		20000.0				20000.0				D			
0001127602-24-019362	2922245	Non-qualified Stock Option (Right to Buy)		292.13		27-JUN-2024				4	A	0				11126.0				0.0		A			F2	27-JUN-2034		Common Stock		11126.0				11126.0				D			
0001562180-24-005366	2891633	Restricted Stock Units			F1	14-JUN-2024				4	M	false				807.0	F2			0.0		D		12-MAY-2024	F3		F3	Common Stock		807.0				0.0				D			
0000921895-24-001485	2844876	Restricted Stock Unit			F1	26-JUN-2024				4	A	0				20000.0				0.0		A			F2		F2	Common Stock		20000.0				20000.0				D			
0000921895-24-001484	2962124	Restricted Stock Unit			F1	26-JUN-2024				4	A	0				30000.0				0.0		A			F2		F2	Common Stock		30000.0				30000.0				D			
0001062993-24-013136	3162189	Warrants		0.01		27-JUN-2024				4	A	0				10000000.0	F5			0.0		A			F6	27-JUN-2034		Common Stock		10000000.0				10000000.0				I		By THA Holdings LLC	
0001437749-24-021569	2905179	Dividend Equivalent Right			F4	28-JUN-2024				4	M	0				19.0					F1	D			F3		F3	Common Stock		19.0				0.0				D			
0001437749-24-021569	2905178	Restricted Stock Units			F1	28-JUN-2024				4	M	0				443.0					F1	D			F3		F3	Common Stock		443.0				0.0				D			
0001610717-24-000372	3238778	Stock Option (Right to Buy)		0.38		27-JUN-2024				4	A	0				60000.0				0.0		A			F1	27-JUN-2034		Common Stock		60000.0				60000.0				D			
0001415889-24-018409	3040669	Stock Option (right to buy)		6.66		27-JUN-2024				4	M	0				10000.0				0.0		D			F4	07-DEC-2031		Common Stock		10000.0				69031.0				D			
0001610717-24-000371	3251188	Stock Option (Right to Buy)		0.38		27-JUN-2024				4	A	0				60000.0				0.0		A			F1	27-JUN-2034		Common Stock		60000.0				60000.0				D			
0001562180-24-005363	3252616	Stock Options (Right to buy)		5.52		26-JUN-2024				4	A	false				16000.0				5.52		A		26-JUN-2025		25-JUN-2034		Common Stock		16000.0				16000.0				D			
0001610717-24-000370	2910226	Stock Option (Right to Buy)		0.38		27-JUN-2024				4	A	0				60000.0				0.0		A			F1	27-JUN-2034		Common Stock		60000.0				60000.0				D			
0001562180-24-005362	3038847	Stock Options (Right to buy)		5.52		26-JUN-2024				4	A	false				16000.0				5.52		A		26-JUN-2025		25-JUN-2034		Common Stock		16000.0				16000.0				D			
0001610717-24-000369	3174090	Stock Option (Right to Buy)		0.38		27-JUN-2024				4	A	0				60000.0				0.0		A			F1	27-JUN-2034		Common Stock		60000.0				60000.0				D			
0001415889-24-018408	2713888	Option to Purchase Common Stock		22.5		26-JUN-2024				4	M	0	F1			10000.0				0.0		D			F5	01-JUL-2025		Common Stock		10000.0				25000.0				D			
0001415889-24-018408	2713889	Option to Purchase Common Stock		22.5		27-JUN-2024				4	M	0	F1			10000.0				0.0		D			F5	01-JUL-2025		Common Stock		10000.0				15000.0				D			
0001415889-24-018408	2713890	Option to Purchase Common Stock		22.5		28-JUN-2024				4	M	0	F1			10000.0				0.0		D			F5	01-JUL-2025		Common Stock		10000.0				5000.0				D			
0001562180-24-005361	3212706	Stock Options (Right to buy)		5.52		26-JUN-2024				4	A	false				16000.0				5.52		A		26-JUN-2025		25-JUN-2034		Common Stock		16000.0				16000.0				D			
0001562180-24-005360	2691108	Stock Options (Right to buy)		5.52		26-JUN-2024				4	A	false				16000.0				5.52		A		26-JUN-2025		25-JUN-2034		Common Stock		16000.0				16000.0				D			
0000950170-24-079044	2956392	Stock Option (Right to Buy)		12.31		26-JUN-2024				4	A	false				21000.0				0.0		A			F1	26-JUN-2034		Common Stock		21000.0				21000.0				I		See Footnote	F2
0000950170-24-079042	2880338	Stock Option (Right to Buy)		12.31		26-JUN-2024				4	A	false				21000.0				0.0		A			F1	26-JUN-2034		Common Stock		21000.0				21000.0				I		See Footnote	F2
0000950170-24-079038	3012432	Stock Option (Right to Buy)		12.31		26-JUN-2024				4	A	false				21000.0				0.0		A			F1	26-JUN-2034		Common Stock		21000.0				21000.0				D			
0000950170-24-079037	3257839	Stock Option (Right to Buy)		12.31		26-JUN-2024				4	A	false				21000.0				0.0		A			F1	26-JUN-2034		Common Stock		21000.0				21000.0				D			
0000950170-24-079035	3002757	Share Option (right to buy)		17.94		27-JUN-2024				4	M	false	F1			2547.0				0.0		D			F2	21-FEB-2028		Common Shares		2547.0				0.0				D			
0000950170-24-079035	3002758	Share Option (right to buy)		17.94		27-JUN-2024				4	M	false	F1			7453.0				0.0		D			F2	21-FEB-2028		Common Shares		7453.0				0.0				D			
0001562180-24-005359	3000646	Stock Options (Right to buy)		5.52		26-JUN-2024				4	A	false				16000.0				5.52		A		26-JUN-2025		25-JUN-2034		Common Stock		16000.0				16000.0				D			
0001437749-24-021565	2798908	Restricted Stock Units			F1	28-JUN-2024				4	M	0				439.0					F1	D			F3		F3	Common Stock		439.0				0.0				D			
