ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001493152-24-025691	2662495	Stock Option (Right to Buy)		2.38		20-JUN-2024				4	A	0				4000.0				2.38		A			F1	20-JUN-2029		Common Stock		4000.0				7467.0				D			
0001493152-24-025686	2634676	Stock Option (Right to Buy)		2.38		20-JUN-2024				4	A	0				15000.0				2.38		A			F1	20-JUN-2029		Common Stock		15000.0				31667.0				D			
0001493152-24-025689	2891015	Stock Option (Right to Buy)		2.38		20-JUN-2024				4	A	0				4000.0				2.38		A			F1	20-JUN-2029		Common Stock		4000.0				7067.0				D			
0001493152-24-025688	2823401	Stock Option (Right to Buy)		2.38		20-JUN-2024				4	A	0				20000.0				2.38		A			F2	20-JUN-2029		Common Stock		20000.0				49334.0				D			
0001493152-24-025687	2967654	Stock Option (Right to Buy)		2.38		20-JUN-2024				4	A	0				4000.0				2.38		A			F1	20-JUN-2029		Common Stock		4000.0				7067.0				D			
0001493152-24-025692	3280444	Stock Option (Right to Buy)		2.38		20-JUN-2024				4	A	0				4000.0				2.38		A			F1	20-JUN-2029		Common Stock		4000.0				7067.0				D			
0001493152-24-025690	3144341	Stock Option (Right to Buy)		2.38		20-JUN-2024				4	A	0				4000.0				2.38		A			F1	20-JUN-2029		Common Stock		4000.0				7067.0				D			
0001104659-24-076443	2781482	Class D Units of Clearway Energy LLC			F1	26-JUN-2024				4	C	0				375000.0				0.0		D			F1		F1	Class C Common Stock		375000.0				41961750.0				I		See footnotes	F3, F2
0001493152-24-025678	2945451	Stock options		0.06		27-JUN-2024				4	A	0				200000.0				0.0		A		27-JUN-2024		26-JUN-2034		Common Stock		200000.0				261000.0				D			
0001493152-24-025677	2929387	Stock options		0.06		27-JUN-2024				4	A	0				200000.0				0.0		A		27-JUN-2024		26-JUN-2034		Common Stock		200000.0				269040.0				D			
0001415889-24-018511	3187516	Restricted Stock Unit			F1	26-JUN-2024				4	A	0	F2			2330.0				0.0		A			F3		F3	Common Stock		2330.0				2330.0				D			
0001127602-24-019428	2790143	Non-qualified Stock Option (Right to Buy)		118.04		27-JUN-2024				4	M	0	F1			5600.0				0.0		D		22-MAR-2019	F5	22-MAR-2025		Common Stock		5600.0				79570.0				D			
0001493152-24-025674	3074067	Stock options		0.06		27-JUN-2024				4	A	0				250000.0				0.0		A		27-JUN-2024		26-JUN-2034		Common Stock		250000.0				382495.0				D			
0001127602-24-019426	3213255	Employee Stock Option (Right to Buy)		38.89		27-JUN-2024				4	M	0				9101.0				0.0		D			F3	11-OCT-2028		Common Stock		9101.0				0.0				D			
0001127602-24-019426	3213256	Employee Stock Option (Right to Buy)		56.5		27-JUN-2024				4	M	0				10899.0				0.0		D			F3	02-OCT-2029		Common Stock		10899.0				15689.0				D			
0001628280-24-030522	2940073	Stock Option (right to buy)		2.69		26-JUN-2024				4	M	0				50000.0				0.0		D			F2	14-JUL-2024		Common Stock		50000.0				0.0				D			
0001104659-24-076427	3279339	Class D Units of Clearway Energy LLC			F1	26-JUN-2024				4	C	0				375000.0				0.0		D			F1		F1	Class C Common stock		375000.0				41961750.0				I		See footnotes	F2, F3, F4
0001127602-24-019424	3048355	Stock Option (Right to Buy)		160.53		28-JUN-2024				4	M	0				2535.0				0.0		D			F1	29-SEP-2024		Common Stock		2535.0				0.0				D			
0001585521-24-000132	2738842	Class B Common Stock			F5	26-JUN-2024				4	C	0				5007.0				0.0		D			F5		F5	Class A Common Stock		5007.0				0.0				D			
0001585521-24-000132	2738840	Employee Stock Option (right to buy)		1.31		26-JUN-2024				4	M	0				5007.0				0.0		D			F4	06-JAN-2028		Class B Common Stock	F5	5007.0				488022.0				D			
0001585521-24-000132	2738841	Class B Common Stock			F5	26-JUN-2024				4	M	0				5007.0				0.0		A			F5		F5	Class A Common Stock		5007.0				5007.0				D			
0001415889-24-018483	2885863	Stock Option (Right to Buy)		7.89		26-JUN-2024				4	A	0				10000.0				0.0		A			F1	25-JUN-2034		Common Stock		10000.0				10000.0				I		See Footnotes	F2, F3
0001415889-24-018481	2996650	Stock Option (Right To Buy)		7.89		26-JUN-2024				4	A	0				10000.0				0.0		A			F1	25-JUN-2034		Common Stock		10000.0				10000.0				D	F2		
0001415889-24-018479	2667535	Class B common stock		0.0		27-JUN-2024				4	M	0				10000.0				11.13		A			F4		F4	Class A common stock		10000.0				10000.0				D			
0001415889-24-018479	2667534	Stock Options (Right to Buy)		11.13		27-JUN-2024				4	M	0				10000.0				0.0		D			F3	09-OCT-2028		Class B common stock		10000.0				117188.0				D			
0001415889-24-018479	2667536	Class B common stock		0.0		27-JUN-2024				4	C	0				10000.0				0.0		D			F4		F4	Class A common stock		10000.0				0.0				D			
0001225208-24-007036	2726692	Phantom Stock			F1	28-JUN-2024				4	A	0				1294.05				25.12		A			F1		F1	Common Stock		1294.05				23134.08				D			
0001935874-24-000010	3059916	Non-qualified stock option		46.0		28-JUN-2024				4	M	0				250.0				0.0		D		04-JUN-2019	F2	04-JUN-2028		Common Stock		250.0				0.0				D			
0001415889-24-018469	2729705	Stock Option (Right To Buy)		7.89		26-JUN-2024				4	A	0				10000.0				0.0		A			F1	25-JUN-2034		Common Stock		10000.0				10000.0				D			
0001415889-24-018467	3250479	Stock Option (Right To Buy)		7.89		26-JUN-2024				4	A	0				10000.0				0.0		A			F1	25-JUN-2034		Common Stock		10000.0				10000.0				D			
0001557341-24-000004	3193404	Options to Purchase Common Stock		2.5		01-APR-2024		01-APR-2024		4	A	0				17964.0					F1	A			F1	01-APR-2034		Common Stock		17964.0				319209.0				D			
0001744489-24-000183	3012274	Restricted Stock Unit			F2	27-JUN-2024				4	M	0				3624.0				0.0		D			F1		F1	Disney Common Stock		3624.0				7248.0				D			
0001366561-24-000162	2717643	Restricted Stock Units (RSU) (Class A)			F1	26-JUN-2024				4	M	0				2640.0				0.0		D			F2	26-JUN-2033		Class A Common Stock		2640.0				5281.0				D			
0000912282-24-000522	2773954	Restricted Stock Units			F1	26-JUN-2024				4	A	0				805264.0				0.0		A			F3		F3	Common Shares		805264.0				805264.0				D			
0000912282-24-000522	2773953	Restricted Stock Units			F1	26-JUN-2024				4	M	0				309091.0				0.0		D			F2		F2	Common Shares		309091.0				0.0				D			
0001601830-24-000095	3200727	Stock Option (Right to Buy)		1.06		27-JUN-2024				4	M	0	F1			6000.0				0.0		D			F3	22-JUL-2028		Class A Common Stock		6000.0				476000.0				D			
0001557341-24-000003	3300435	Warrants to Purchase Common Stock		2.5		19-DEC-2023		19-DEC-2023		4	P	0				79245.0				0.0		A		19-DEC-2023		19-DEC-2028		Common Stock		79245.0				301245.0				D			
0001415889-24-018463	3108246	Stock Option (Right To Buy)		7.89		26-JUN-2024				4	A	0				10000.0				0.0		A			F1	25-JUN-2034		Common Stock		10000.0				10000.0				D			
0001433195-24-000080	2837875	Class B Common Stock		0.0		26-JUN-2024				4	C	0				8500.0				0.0		D			F6, F7		F6, F7	Class A Common Stock		8500.0				37000.0				D			
0001415889-24-018461	3057491	Stock Option (Right To Buy)		7.89		26-JUN-2024				4	A	0				10000.0				0.0		A			F1	25-JUN-2034		Common Stock		10000.0				10000.0				D			
0001610717-24-000379	2933207	Stock Option (Right to Buy)		37.54		20-JUN-2024				4	A	0				15955.0				0.0		A			F3	19-JUN-2034		Common Stock		15955.0				15955.0				D			
0001610717-24-000378	2705793	Stock Option (Right to Buy)		37.54		20-JUN-2024				4	A	0				15955.0				0.0		A			F2	19-JUN-2034		Common Stock		15955.0				15955.0				D			
0001610717-24-000377	2747035	Stock Option (Right to Buy)		37.54		20-JUN-2024				4	A	0				15955.0				0.0		A			F2	19-JUN-2034		Common Stock		15955.0				15955.0				D			
