ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001127602-24-014927	1982800	Phantom Stock		0.0					F9		F9	Common Stock		6466.0				6466.0				D			
0001127602-24-014927	1982799	PRSUs 2023.1			F8				F8		F8	Common Stock		2856.0				2856.0				D			
0001127602-24-014927	1982796	PRSUs 2022			F5				F5		F5	Common Stock		25592.0				25592.0				D			
0001127602-24-014925	1719803	PRSUs 2023.1			F8				F8		F8	Common Stock		345.0				345.0				D			
0001127602-24-014925	1719802	PRSUs 2023			F7				F7		F7	Common Stock		2606.0				2606.0				D			
0001127602-24-014925	1719801	PRSUs.1 2022			F6				F6		F6	Common Stock		748.0				748.0				D			
0001127602-24-014925	1719799	RSUs 2024			F4				F4		F4	Common Stock		2606.0				2606.0				D			
0001127602-24-014925	1719800	PRSUs 2022			F5				F5		F5	Common Stock		3087.0				3087.0				D			
0001127602-24-014924	1741948	PRSUs 2023.1			F8				F8		F8	Common Stock		752.0				752.0				D			
0001127602-24-014924	1741947	PRSUs 2023			F7				F7		F7	Common Stock		5669.0				5669.0				D			
0001127602-24-014924	1741944	RSUs 2024			F4				F4		F4	Common Stock		3600.0				3600.0				D			
0001127602-24-014924	1741945	PRSUs 2022			F5				F5		F5	Common Stock		6853.0				6853.0				D			
0001127602-24-014924	1741946	PRSUs.1 2022			F6				F6		F6	Common Stock		1671.0				1671.0				D			
0001127602-24-014922	1726923	PRSUs.1 2022			F6				F6		F6	Common Stock		1234.0				1234.0				D			
0001127602-24-014922	1726922	PRSUs 2022			F5				F5		F5	Common Stock		5063.0				5063.0				D			
0001127602-24-014922	1726921	RSUs 2024			F4				F4		F4	Common Stock		2914.0				2914.0				D			
0001127602-24-014922	1726924	PRSUs 2023			F7				F7		F7	Common Stock		4252.0				4252.0				D			
0001127602-24-014921	1961425	PRSUs 2023			F7				F7		F7	Common Stock		2606.0				2606.0				D			
0001127602-24-014921	1961426	PRSUs 2023.1			F8				F8		F8	Common Stock		345.0				345.0				D			
0001127602-24-014921	1961424	PRSUs.1 2022			F6				F6		F6	Common Stock		783.0				783.0				D			
0001127602-24-014921	1961423	PRSUs 2022			F5				F5		F5	Common Stock		3212.0				3212.0				D			
0001127602-24-014921	1961422	RSUs 2024			F4				F4		F4	Common Stock		2606.0				2606.0				D			
0001127602-24-014919	1722028	PRSUs 2023			F7				F7		F7	Common Stock		4252.0				4252.0				D			
0001127602-24-014919	1722029	PRSUs 2023.1			F8				F8		F8	Common Stock		564.0				564.0				D			
0001127602-24-014919	1722025	RSUs 2024			F4				F4		F4	Common Stock		2700.0				2700.0				D			
0001127602-24-014919	1722026	PRSUs 2022			F5				F5		F5	Common Stock		5063.0				5063.0				D			
0001127602-24-014919	1722027	PRSUs.1 2022			F6				F6		F6	Common Stock		1234.0				1234.0				D			
0001127602-24-014918	1750536	PRSUs 2023.1			F9				F9		F9	Common Stock		888.0				888.0				D			
0001127602-24-014918	1750534	PRSUs.1 2022			F7				F7		F7	Common Stock		1899.0				1899.0				D			
0001127602-24-014918	1750535	PRSUs 2023			F8				F8		F8	Common Stock		6697.0				6697.0				D			
0001127602-24-014918	1750532	RSUs 2024			F5				F5		F5	Common Stock		4286.0				4286.0				D			
0001127602-24-014918	1750533	PRSUs 2022			F6				F6		F6	Common Stock		7787.0				7787.0				D			
0001127602-24-014917	1763740	PRSUs.1 2022			F8				F8		F8	Common Stock		783.0				783.0				D			
0001127602-24-014917	1763739	PRSUs 2022			F7				F7		F7	Common Stock		3212.0				3212.0				D			
0001127602-24-014917	1763738	PRSUs 2023.1			F6				F6		F6	Common Stock		345.0				345.0				D			
0001127602-24-014917	1763737	PRSUs 2023			F5				F5		F5	Common Stock		2606.0				2606.0				D			
0001127602-24-014917	1763736	RSUs 2024			F4				F4		F4	Common Stock		2606.0				2606.0				D			
0001857816-24-000128	1716824	Class B Ordinary Shares, par value $0.05 per share			F10				F10		F10	Class A Ordinary Shares, par value $0.05 per share		8076732.0				8076732.0				I		By Shan Lao Hu Tong LLC, Ji Xiang Hu Tong Holdings Limited and TALENT BOOM GROUP LIMITED	F11, F3, F5
0001934737-24-000016	1976080	OPTIONS		0.01				12-JUL-2024		12-JAN-2029		COMMON		5000000.0				10000000.0				D			
0001934737-24-000016	1976077	WARRANTS		0.01				30-MAY-2022		30-MAY-2027		COMMON		25000000.0				25000000.0				D			
0001934737-24-000016	1976078	WARRANTS		0.01				25-APR-2024		25-APR-2034		COMMON		25000000.0				50000000.0				D			
0001934737-24-000016	1976079	OPTIONS		0.01				12-JAN-2024		12-JAN-2029		COMMON		5000000.0				5000000.0				D			
0001750219-24-000019	1905111	WARRANTS		0.01				30-MAY-2022		30-MAY-2027		COMMON		20000000.0				20000000.0				D			
0001750219-24-000019	1905112	WARRANTS		0.01				25-APR-2024		25-APR-2034		COMMON		25000000.0				45000000.0				D			
0001750219-24-000019	1905113	OPTIONS		0.01				12-JAN-2024		12-JAN-2029		COMMON		5000000.0				5000000.0				D			
0001750219-24-000019	1905114	OPTIONS		0.01				12-JUL-2024		12-JAN-2029		COMMON		5000000.0				10000000.0				D			
0001393311-24-000135	1932576	AO LTIP Units		279.51				05-MAR-2025	F7	04-MAR-2034		Common Shares		6470.0				6470.0				D			
0001393311-24-000135	1932574	AO LTIP Units		228.74				27-MAY-2020	F5	26-MAY-2029		Common Shares		6196.0				6196.0				D			
0001393311-24-000135	1932573	LTIP Units			F4				F4		F4	Common Shares		9000.0				9000.0				D			
0001393311-24-000135	1932575	AO LTIP Units		222.66				16-FEB-2024	F6	15-FEB-2031		Common Shares		77456.0				77456.0				D			
0001437749-24-015784	1705283	Restricted Stock Unit			F2				F1		F1	Common Stock		50000.0								D			
0001415889-24-012775	1901244	Class B Common Stock			F1				F1		F1	Class A Common Stock		443414.0				443414.0				I		See footnote	F17
0001437749-24-015756	1711777	Option to Purchase Common Stock [2021 Grant]		71.64				06-MAY-2022		05-MAY-2026		Common Stock		7500.0				7500.0				D			
0001437749-24-015756	1711778	Option to Purchase Common Stock [2022 Grant]		69.19				05-MAY-2023		04-MAY-2027		Common Stock		7500.0				7500.0				D			
0001437749-24-015756	1711779	Option to Purchase Common Stock [2023 Grant]		55.75				04-MAY-2024		03-MAY-2028		Common Stock		7500.0				7500.0				D			
0001437749-24-015756	1711776	Option to Purchase Common Stock [2020 Grant]		64.64				07-MAY-2021		06-MAY-2025		Common Stock		7500.0				7500.0				D			
