ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001567619-22-007809	/s/ Stuart L. Merkadeau, Attorney-in-fact for Paul McClaskey	31-MAR-2022
0001140361-22-012425	/s/ Samuel Sithole	31-MAR-2022
0001140361-22-012425	/s/ Monde Nkosi	31-MAR-2022
0001140361-22-012425	/s/ Antony C. Ball	31-MAR-2022
0001140361-22-012423	/s/ Antony C. Ball	31-MAR-2022
0001140361-22-012423	/s/ Samuel Sithole	31-MAR-2022
0001140361-22-012423	/s/ Monde Nkosi	31-MAR-2022
0001140361-22-012422	/s/ Samuel Sithole	31-MAR-2022
0001140361-22-012422	/s/ Antony C. Ball	31-MAR-2022
0001140361-22-012422	/s/ Monde Nkosi	31-MAR-2022
0001140361-22-012421	/s/ Monde Nkosi	31-MAR-2022
0001140361-22-012421	/s/ Samuel Sithole	31-MAR-2022
0001140361-22-012421	/s/ Antony C. Ball	31-MAR-2022
0001140361-22-012420	/s/ Antony C. Ball	31-MAR-2022
0001140361-22-012420	/s/ Samuel Sithole	31-MAR-2022
0001140361-22-012420	/s/ Monde Nkosi	31-MAR-2022
0001140361-22-012419	/s/ Samuel Sithole	31-MAR-2022
0001140361-22-012419	/s/ Monde Nkosi	31-MAR-2022
0001140361-22-012419	/s/ Antony C. Ball	31-MAR-2022
0001104659-22-041330	/s/ Jeffrey Cohan, Attorney-in-Fact	31-MAR-2022
0001731122-22-000657	/s/ Candace Crawford	31-MAR-2022
0001104659-22-041327	/s/ Jeffrey Cohan, Attorney-in-Fact	31-MAR-2022
0001731122-22-000655	/s/ Justin Yorke	31-MAR-2022
0001731122-22-000653	/s/ Robert Nistico	31-MAR-2022
0001731122-22-000651	/s/ Peter J. McDonough	31-MAR-2022
0001127602-22-010772	/s/ Neal Nackman	31-MAR-2022
0001127602-22-010770	/s/ Sammy Aaron	31-MAR-2022
0001127602-22-010768	/s/ Morris Goldfarb	31-MAR-2022
0001213900-22-017121	B. Riley Financial, Inc., by: /s/ Bryant R. Riley, Co-Chief Executive Officer	31-MAR-2022
0001213900-22-017121	B. Riley Securities, Inc. by: /s/ Andrew Moore, Chief Executive Officer	31-MAR-2022
0001213900-22-017121	B. Riley Principal Investments, LLC by: /s/ Kenneth Young, Chief Executive Officer	31-MAR-2022
0001213900-22-017121	BRF Investments, LLC., by: /s/ Phillip Ahn, Authorized Signatory	31-MAR-2022
0001213900-22-017121	/s/ Bryant R. Riley	31-MAR-2022
0001567619-22-007808	/s/ Eric Fleekop, Attorney-in-Fact	31-MAR-2022
0001779372-22-000012	/s/ Branislav Vajdic	31-MAR-2022
0001415889-22-003528	/s/ Charles E. Mather IV	31-MAR-2022
0000950142-22-001230	/s/ Darrell Sherman, as Attorney-in-Fact	31-MAR-2022
0000950142-22-001229	/s/ Darrell Sherman, as Attorney-in-Fact	31-MAR-2022
0001415889-22-003526	/s/ Christi Hing, Attorney-in-Fact	31-MAR-2022
0001415889-22-003524	/s/ Christi Hing, Attorney-in-Fact	31-MAR-2022
0001829126-22-007241	/s/ Zining Jiang	31-MAR-2022
0001829126-22-007240	/s/ Zhuo Wang	31-MAR-2022
0001829126-22-007239	/s/ Xinghua Fan	31-MAR-2022
