ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001104659-21-045075	/s/ Jason T. Simon, Attorney-in-Fact	31-MAR-2021
0001104659-21-045073	/s/ Jason T. Simon, Attorney-in-Fact	31-MAR-2021
0001104659-21-045074	/s/ Jason T. Simon, Attorney-in-Fact	31-MAR-2021
0001104659-21-045076	/s/ Jason T. Simon, Attorney-in-Fact	31-MAR-2021
0000899243-21-014303	/s/ Youssef El Zein	31-MAR-2021
0000899243-21-014303	Pillar Partners Foundation, L.P., /s/ Youssef El Zein, Authorized Person	31-MAR-2021
0000899243-21-014303	Pillar Invest Corporation, /s/ Youssef El Zein, Authorized Person	31-MAR-2021
0000899243-21-014303	/s/ Abude Umari	31-MAR-2021
0000899243-21-014303	Pillar Pharmaceuticals, 6, L.P., /s/ Youssef El Zein, Authorized Person	31-MAR-2021
0001854475-21-000004	Shannon M. Shaw as Attorney-in-Fact for Kulesh Shanmugasundaram	31-MAR-2021
0000899243-21-014301	/s/ Harry You	31-MAR-2021
0000899243-21-014300	/s/ Robert D. Wright	31-MAR-2021
0000899243-21-014297	/s/ Niccolo de Masi	31-MAR-2021
0000899243-21-014295	/s/ Niccolo de Masi	31-MAR-2021
0000899243-21-014294	/s/ Harry L. You	31-MAR-2021
0001854475-21-000002	Shannon M. Shaw as Attorney-in-Fact for Kulesh Shanmugasundaram	31-MAR-2021
0001104659-21-045063	/s/ Michael Chapman, by power of attorney	31-MAR-2021
0001695434-21-000002	Steven S. Fendley, by Eva Yee, Attorney-In-Fact	31-MAR-2021
0001104659-21-045061	/s/ Michael Chapman, by power of attorney	31-MAR-2021
0001209191-21-023909	/s/ Darren DeStefano, Attorney-in-Fact	31-MAR-2021
0001104659-21-045059	/s/ Michael Chapman, by power of attorney	31-MAR-2021
0001104659-21-045057	/s/ Michael Chapman, by power of attorney	31-MAR-2021
0001104659-21-045056	/s/ Michael Chapman, by power of attorney	31-MAR-2021
0001104659-21-045054	/s/ Michael Chapman, by power of attorney	31-MAR-2021
0001104659-21-045053	/s/ Michael Chapman, by power of attorney	31-MAR-2021
0001104659-21-045051	/s/ Michael Chapman, by power of attorney	31-MAR-2021
0001104659-21-045050	/s/ Michael Chapman, by power of attorney	31-MAR-2021
0001104659-21-045049	/s/ Michael Chapman, by power of attorney	31-MAR-2021
0000899243-21-014289	/s/ Nasym Afsari, Attorney in fact	31-MAR-2021
0001069530-21-000024	/s/ Eric J. Schoen by Power of Attorney	31-MAR-2021
0001082923-21-000041	/s/ David M. Zlotchew, Attorney in Fact	31-MAR-2021
0001082440-21-000006	Eric M. DeMarco, by Eva Yee, Attorney-In-Fact	31-MAR-2021
0001104659-21-045040	/s/ Par Chadha	31-MAR-2021
0001209191-21-023907	/s/ Justin V. Laubach, under power of attorney	31-MAR-2021
0000950103-21-005017	/s/ Michael Johnson, attorney-in-fact for Mark Zuckerberg	31-MAR-2021
0001209191-21-023906	/s/ Justin V. Laubach, under power of attorney	31-MAR-2021
0000939767-21-000038	/s/ Jennifer Drimmer Rokovich, Attorney in Fact	31-MAR-2021
0001214659-21-003736	/s/ Steve P. Dunn	31-MAR-2021
0001214659-21-003735	/s/ Jeremy Rossen	31-MAR-2021
0001214659-21-003734	/s/ R. Scott Turicchi	31-MAR-2021
0001127602-21-012466	/s/ Simon Y. Leung, Attorney-in-Fact	31-MAR-2021
0001127602-21-012465	/s/ Simon Y. Leung, Attorney-in-Fact	31-MAR-2021
0001415889-21-001724	/s/ James G. Marken	31-MAR-2021
0001415889-21-001723	/s/ Stephen P. Carey	31-MAR-2021
0001127602-21-012461	/s/ Simon Y. Leung, Attorney-in-Fact	31-MAR-2021
0001209191-21-023905	/s/ Ernest C. Garcia II	31-MAR-2021
0001209191-21-023905	/s/ Ernest C. Garcia II, Verde Investments, Inc.	31-MAR-2021
0001127602-21-012459	/s/ Simon Y. Leung, Attorney-in-Fact	31-MAR-2021
0001104659-21-045027	GLOBAL INFRASTRUCTURE INVESTORS III, LLC By: /s/ Jonathan Bram Name: Jonathan Bram Title: Partner	31-MAR-2021
0001104659-21-045027	GIP III ZEPHYR ACQUISITION PARTNERS, L.P. By: Global Infrastructure GP III, L.P., its general partner By: Global Infrastructure Investors III, LLC, its general partner By: /s/ Jonathan Bram Name: Jonathan Bram Title: Partner	31-MAR-2021
0001104659-21-045027	CLEARWAY ENERGY GROUP LLC By: /s/ Craig Cornelius Name: Craig Cornelius Title: Chief Executive Officer	31-MAR-2021
0001104659-21-045027	GLOBAL INFRASTRUCTURE GP III, L.P. By: Global Infrastructure Investors III, LLC, its general partner By: /s/ Jonathan Bram Name: Jonathan Bram Title: Partner	31-MAR-2021
0001209191-21-023903	/s/ Ernest C. Garcia II, Verde Investments, Inc.	31-MAR-2021
0001209191-21-023903	/s/ Ernest C. Garcia II	31-MAR-2021
