ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001493152-19-009928	231947	RSU	F2, F1	0.0		26-JUN-2019				4	A	0				9715.0				0.0		A		26-JUN-2019		26-JUN-2020		Common Stock		9715.0				9715.0				D			
0001493152-19-009927	298714	RSU	F2, F1	0.0		26-JUN-2019				4	A	0				9715.0				0.0		A		26-JUN-2019		26-JUN-2020		Common Stock		9715.0				9715.0				D			
0001493152-19-009925	322483	RSU	F2, F1	0.0		26-JUN-2019				4	A	0				9715.0				0.0		A		26-JUN-2019		26-JUN-2020		Common Stock		9715.0				9715.0				D			
0001493152-19-009923	297249	RSU	F2, F1	0.0		26-JUN-2019				4	A	0				9715.0				0.0		A		26-JUN-2019		26-JUN-2020		Common Stock		9715.0				9715.0				D			
0001209191-19-039557	207292	Non-Qualified Stock Option		15.19		28-JUN-2019				4	M	0				3461.0				0.0		D			F4	02-MAR-2022		Common Stock		3461.0				97520.0				D			
0001209191-19-039557	207290	Non-Qualified Stock Options		12.63		26-JUN-2019				4	M	0				5838.0				0.0		D			F3	02-MAR-2021		Common Stock		5838.0				0.0				D			
0001209191-19-039557	207291	Non-Qualified Stock Options		15.19		26-JUN-2019				4	M	0				19412.0				0.0		D			F4	02-MAR-2022		Common Stock		19412.0				100981.0				D			
0001039399-19-000050	188300	Restricted Stock Units		0.0		27-JUN-2019				4	A	0				11000.0				0.0		A			F3		F4	Common Stock		11000.0				11000.0				D			
0001209191-19-039552	313788	Employee Stock Option (right to buy)		8.52		28-JUN-2019				4	M	0				3143.0				0.0		D			F4	05-JUN-2025		Common Stock		3143.0				134011.0				D			
0001287256-19-000001	156179	Non Employee Stock Options (Right to Buy)		8.7		28-JUN-2019				4	M	0				1200.0				8.7		D		13-DEC-2017		13-DEC-2027		Common Stock		3000.0				1800.0				D			
0001287256-19-000001	156180	Non Employee Stock Options (Right to Buy)		16.2		28-JUN-2019				4	M	0				800.0				16.2		D		11-DEC-2018		11-DEC-2028		Common Stock		4000.0				3200.0				D			
0001209191-19-039550	183758	Option to Purchase Common Stock		24.11		26-JUN-2019				4	M	0				20000.0				0.0		D			F6	05-DEC-2023		Common Stock		20000.0				0.0				D	F3		
0001209191-19-039550	183760	Option to Purchase Common Stock		30.17		26-JUN-2019				4	M	0				7500.0				0.0		D			F7	02-MAR-2027		Common Stock		7500.0				0.0				D	F3		
0001209191-19-039550	183759	Option to Purchase Common Stock		27.97		26-JUN-2019				4	M	0				10000.0				0.0		D			F7	03-MAR-2026		Common Stock		10000.0				0.0				D	F3		
0001179110-19-008222	223498	Stock Appreciation Rights		1.36		26-JUN-2019				4	M	0				11111.0				0.0		D		29-JUN-2018	F7	29-JUN-2019		Common Stock		11111.0				0.0				D			
0001209191-19-039544	169982	Employee Stock Option (right to buy)		60.97		28-JUN-2019				4	M	0	F1			5000.0				0.0		D			F3	09-MAY-2020		Common Stock		5000.0				35999.0				D			
0000903423-19-000266	210607	Series C Preferred Units			F1	27-JUN-2019				4	C	0				51781276.0					F1	D			F1		F1	Common Stock		11736137.0				0.0				I		See Explanation of Responses	F2, F6, F5, F4, F3, F7
0000903423-19-000266	210608	Series D Preferred Units			F1	27-JUN-2019				4	C	0				50446451.0					F1	D			F1		F1	Common Stock		10178954.0				0.0				I		See Explanation of Responses	F2, F6, F5, F4, F3, F7
0000903423-19-000265	266577	Series C Preferred Units			F1	27-JUN-2019				4	C	0				51781276.0					F1	D			F1		F1	Common Stock		11736137.0				0.0				I		See Explanation of Responses	F2, F6, F5, F4, F3, F7
0000903423-19-000265	266578	Series D Preferred Units			F1	27-JUN-2019				4	C	0				50446451.0					F1	D			F1		F1	Common Stock		10178954.0				0.0				I		See Explanation of Responses	F2, F6, F5, F4, F3, F7
