ACCESSION_NUMBER	NONDERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001209191-20-052527	547107	Common Stock		28-SEP-2020				4	M	0	F1			24750.0		5.95		A		43054.0				D			
0001209191-20-052527	547122	Common Stock		29-SEP-2020				4	S	0	F1			1574.0		109.28	F16	D		275.0				D			
0001209191-20-052527	547109	Common Stock		28-SEP-2020				4	S	0	F1			3701.71		108.2	F3	D		39079.0				D			
0001209191-20-052527	547110	Common Stock		28-SEP-2020				4	S	0	F1			6594.79		109.07	F4	D		32485.0				D			
0001209191-20-052527	547111	Common Stock		28-SEP-2020				4	S	0	F1			8051.5		109.98	F5	D		24433.0				D			
0001209191-20-052527	547112	Common Stock		28-SEP-2020				4	S	0	F1			2319.68		110.97	F6	D		22113.0				D			
0001209191-20-052527	547113	Common Stock		28-SEP-2020				4	S	0	F1			213.38		111.92	F7	D		21900.0				D			
0001209191-20-052527	547114	Common Stock		28-SEP-2020				4	S	0	F1			719.55		113.02	F8	D		21180.0				D			
0001209191-20-052527	547115	Common Stock		28-SEP-2020				4	S	0	F1			396.99		113.81	F9	D		20783.0				D			
0001209191-20-052527	547116	Common Stock		28-SEP-2020				4	S	0	F1			992.48		115.23	F10	D		19791.0				D			
0001209191-20-052527	547117	Common Stock		28-SEP-2020				4	S	0	F1			941.12		116.08	F11	D		18850.0				D			
0001209191-20-052527	547118	Common Stock		28-SEP-2020				4	S	0	F1			545.86		117.07	F12	D		18304.0				D			
0001209191-20-052527	547119	Common Stock		29-SEP-2020				4	S	0	F1			5975.0		106.18	F13	D		1239.0				D			
0001209191-20-052527	547120	Common Stock		29-SEP-2020				4	S	0	F1			7061.0		107.3	F14	D		5268.0				D			
0001209191-20-052527	547121	Common Stock		29-SEP-2020				4	S	0	F1			3419.0		108.39	F15	D		1849.0				D			
0001209191-20-052527	547108	Common Stock		28-SEP-2020				4	S	0	F1			272.93		107.22	F2	D		42781.0				D			
0001209191-20-052526	686661	Common Stock		28-SEP-2020				4	S	0	F1			3739.1		108.2	F3	D		42496.0				D			
0001209191-20-052526	686660	Common Stock		28-SEP-2020				4	S	0	F1			275.69		107.22	F2	D		46235.0				D			
0001209191-20-052526	686663	Common Stock		28-SEP-2020				4	S	0	F1			8132.83		109.98	F5	D		27701.0				D			
0001209191-20-052526	686664	Common Stock		28-SEP-2020				4	S	0	F1			2343.11		110.97	F6	D		25358.0				D			
0001209191-20-052526	686665	Common Stock		28-SEP-2020				4	S	0	F1			215.54		111.92	F7	D		25143.0				D			
0001209191-20-052526	686666	Common Stock		28-SEP-2020				4	S	0	F1			726.82		113.02	F8	D		24416.0				D			
0001209191-20-052526	686667	Common Stock		28-SEP-2020				4	S	0	F1			401.0		113.81	F9	D		24015.0				D			
0001209191-20-052526	686668	Common Stock		28-SEP-2020				4	S	0	F1			1002.51		115.23	F10	D		23012.0				D			
0001209191-20-052526	686669	Common Stock		28-SEP-2020				4	S	0	F1			950.63		116.08	F11	D		22062.0				D			
0001209191-20-052526	686670	Common Stock		28-SEP-2020				4	S	0	F1			551.38		117.07	F12	D		21510.0				D			
0001209191-20-052526	686671	Common Stock		29-SEP-2020				4	S	0	F1			9915.0		106.17	F13	D		11595.0				D			
0001209191-20-052526	686672	Common Stock		29-SEP-2020				4	S	0	F1			5789.0		107.3	F14	D		5806.0				D			
0001209191-20-052526	686673	Common Stock		29-SEP-2020				4	S	0	F1			3145.0		108.39	F15	D		2661.0				D			
0001209191-20-052526	686674	Common Stock		29-SEP-2020				4	S	0	F1			1100.0		109.21	F16	D		1561.0				D			
0001209191-20-052526	686659	Common Stock		28-SEP-2020				4	M	0	F1			25000.0		5.95		A		46510.0				D			
0001209191-20-052526	686662	Common Stock		28-SEP-2020				4	S	0	F1			6661.4		109.07	F4	D		35834.0				D			
0001209191-20-052525	506463	Common Stock		28-SEP-2020				4	M	0	F1			25000.0		5.95		A		48408.0				D			
0001209191-20-052525	506481	Common Stock		29-SEP-2020				4	S	0	F1			2432.0		109.12	F17	D		7337.0				D			
0001209191-20-052525	506465	Common Stock		28-SEP-2020				4	D	0	F2, F1			247.0		111.18		D		52761.0				D			
0001209191-20-052525	506466	Common Stock		28-SEP-2020				4	F	0	F2, F1			2103.0		111.18		D		50658.0				D			
0001209191-20-052525	506467	Common Stock		28-SEP-2020				4	S	0	F1			275.69		107.22	F3	D		50383.0				D			
0001209191-20-052525	506468	Common Stock		28-SEP-2020				4	S	0	F1			3739.1		108.2	F4	D		46643.0				D			
0001209191-20-052525	506469	Common Stock		28-SEP-2020				4	S	0	F1			6661.4		109.07	F5	D		39982.0				D			
0001209191-20-052525	506470	Common Stock		28-SEP-2020				4	S	0	F1			8132.83		109.98	F6	D		31849.0				D			
0001209191-20-052525	506471	Common Stock		28-SEP-2020				4	S	0	F1			2343.11		110.97	F7	D		29506.0				D			
0001209191-20-052525	506472	Common Stock		28-SEP-2020				4	S	0	F1			215.54		111.92	F8	D		29291.0				D			
0001209191-20-052525	506473	Common Stock		28-SEP-2020				4	S	0	F1			726.82		113.02	F9	D		28564.0				D			
0001209191-20-052525	506474	Common Stock		28-SEP-2020				4	S	0	F1			401.0		113.81	F10	D		28163.0				D			
0001209191-20-052525	506475	Common Stock		28-SEP-2020				4	S	0	F1			1002.51		115.23	F11	D		27160.0				D			
