ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001731122-22-000657	2267772	Option (Right to Buy)		2.6		30-SEP-2021				4	A	0				125000.0				0.0		A			F1	30-SEP-2026		Common Stock		125000.0				125000.0				D			
0001731122-22-000655	2268124	Option (Right to Buy)		2.6		30-SEP-2021				4	A	0				125000.0				0.0		A			F1	30-SEP-2026		Common Stock		125000.0				125000.0				D			
0001731122-22-000653	2267480	Option (Right to Buy)		2.6		30-SEP-2021				4	A	0				530000.0				0.0		A			F1	30-SEP-2026		Common Stock		530000.0				530000.0				D			
0001731122-22-000651	2267577	Option (Right to Buy)		2.6		30-SEP-2021				4	A	0				125000.0				0.0		A			F1	30-SEP-2026		Common Stock		125000.0				125000.0				D			
0001779372-22-000012	2268189	Warrant (right to buy)			F1	29-MAR-2022				4	P	0				10000.0				0.0	F2	A		29-MAR-2022		11-NOV-2026		Common Stock		10000.0				35000.0				D			
0000950142-22-001230	2267953	Deferred Stock Units			F1	31-MAR-2022				4	A	0				873.0					F2	A			F1		F1	Common Stock		873.0				873.0				D			
0000950142-22-001229	2267959	Deferred Stock Units			F1	31-MAR-2022				4	A	0				1166.0					F2	A			F1		F1	Common Stock		1166.0				18228.0				D			
0000950103-22-005777	2268003	Warrants (right to buy)	F1		F2	31-MAR-2022				4	A	0				177778.0					F1	A			F3		F3	Class A Common Stock			F5, F4			2666668.0	F6			I		See footnote	F7
0001209191-22-021874	2267617	2017 Incentive RSUs		0.0	F1	28-MAR-2022				4	A	0				38.88				0.0		A			F2		F2	Class A Common Stock		38.88				3074.24				D			
0001209191-22-021874	2267618	2018 Incentive RSUs		0.0	F1	28-MAR-2022				4	A	0				79.77				0.0		A			F3		F3	Class A Common Stock		79.77				6307.18				D			
