ACCESSION_NUMBER	NONDERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001567619-22-007809	6060656	Common Stock		09-MAR-2022				4	A	0				50000.0	F1	0.0		A		69637.0				D			
0001140361-22-012425	6061105	Common stock		17-MAR-2022				4	P	0				12401.0		4.51	F3	A		12899972.0				I		See Footnote	F4, F2
0001140361-22-012425	6061104	Common stock		16-MAR-2022				4	P	0				12266.0		4.95	F1	A		12887571.0				I		See Footnote	F4, F2
0001140361-22-012423	6060945	Common stock		27-DEC-2021				4	P	0				200.0		5.25	F1	A		12875305.0				I		See Footnote	F1, F2
0001140361-22-012422	6061114	Common stock		20-DEC-2021				4	P	0				65753.0		5.21	F1	A		12875105.0				I		See Footnote	F3, F4, F2
0001140361-22-012422	6061113	Common stock		17-DEC-2021				4	P	0				193077.0		4.91	F1	A		12809352.0				I		See Footnote	F4, F2
0001140361-22-012421	6060106	Common stock		16-DEC-2021				4	P	0				41717.0		4.31	F1	A		12616275.0				I		See Footnote	F3, F2
0001140361-22-012420	6061047	Common stock		15-DEC-2021				4	P	0				70391.0		4.51	F3	A		12574558.0				I		See Footnote	F4, F2
0001140361-22-012420	6061046	Common stock		14-DEC-2021				4	P	0				78497.0		4.39	F1	A		12504167.0				I		See Footnote	F4, F2
0001140361-22-012419	6060239	Common stock		29-MAR-2022				4	P	0				2066.0		5.49	F1	A		12957245.0				I		See Footnote	F2
0001104659-22-041330	6060807	Common Shares		30-MAR-2022				4	P	0				23000.0		2.19	F1	A		15291809.0				D			
0001104659-22-041327	6060254	Common Shares		30-MAR-2022				4	P	0				28000.0		2.13		A		36032.0				D			
0001127602-22-010772	6060763	Common Stock, Par Value $.01 Per Share		29-MAR-2022				4	S	0				15000.0		29.06	F1	D		95625.0				D			
0001127602-22-010770	6060705	Common Stock, Par Value $.01 Per Share		29-MAR-2022				4	A	0				152235.0	F1	0.0		A		546976.0				D			
0001127602-22-010770	6060706	Common Stock, Par Value $.01 Per Share		29-MAR-2022				4	F	0				84186.0	F2	29.27		D		462790.0				D			
0001127602-22-010768	6061119	Common Stock, Par Value $.01 Per Share		29-MAR-2022				4	F	0				212217.0	F2	29.27		D		1858503.0				D			
0001127602-22-010768	6061118	Common Stock, Par Value $.01 Per Share		29-MAR-2022				4	A	0				415704.0	F1	0.0		A		2070720.0				D			
0001567619-22-007808	6060915	Common Stock		30-MAR-2022	F1			4	S	0				1381.0		79.56		D		56257.0				D			
0001567619-22-007808	6060914	Common Stock		29-MAR-2022	F1			4	S	0				1618.0		79.43		D		57638.0				D			
0001415889-22-003528	6061026	Common Stock, par value $.0001		31-MAR-2022				4	P	0				4000.0		3.12		A		41322.0				D			
0001415889-22-003526	6060883	Common Stock		30-MAR-2022				4	A	0				1343.0		10.47		A		8211.0				D			
0001415889-22-003524	6060684	Common Stock		30-MAR-2022				4	A	0				1343.0		10.47		A		8211.0				D			
0001415889-22-003522	6060911	Common Stock		30-MAR-2022				4	A	0				1492.0		10.47		A		108340.0				D			
0001415889-22-003520	6060738	Common Stock		30-MAR-2022				4	A	0				1492.0		10.47		A		211275.0				D			
0001415889-22-003519	6060338	Common Stock		30-MAR-2022				4	A	0				1492.0		10.47		A		129769.0				D			
0001209191-22-021875	6060971	Common Stock		31-MAR-2022				4	P	0				60000.0		5.36	F1	A		60000.0				D			
0000921895-22-001035	6060467	Common Units no par value	F1	06-APR-2020				4	P	0	F2			3285.0		5.08	F3	A		15145.0				I		By Gordon A Walker Jr Revocable Trust	
0000921895-22-001035	6060468	Common Units no par value	F1	07-APR-2020				4	P	0	F2			4802.0		5.18	F4	A		19947.0				I		By Gordon A Walker Jr Revocable Trust	
0000921895-22-001035	6060469	Common Units no par value	F1	08-APR-2020				4	P	0	F2			53.0		5.32		A		20000.0				I		By Gordon A Walker Jr Revocable Trust	
0001209191-22-021870	6060643	2021 Elective Restricted Stock Units		28-MAR-2022				4	A	0				1.2			F1, F4	A		95.21				D			
0001209191-22-021870	6060642	2021 Annual Restricted Stock Units		28-MAR-2022				4	A	0				16.84			F3, F1	A		1331.83				D			
0001209191-22-021870	6060641	2020 Annual Restricted Stock Units		28-MAR-2022				4	A	0				19.47			F1, F2	A		1539.26				D			
0001567619-22-007806	6061032	Common Stock		29-MAR-2022				4	F	0				13728.0		0.84		D		39206.0				D			
0001567619-22-007806	6061031	Common Stock		29-MAR-2022				4	M	0				33989.0		0.0	F1	A		52934.0				D			
0000921895-22-001034	6060113	Common Units no par value	F1	03-APR-2020				4	P	0	F2			3794.0		4.91	F5	A		11860.0				I		By Gordon A Walker Jr Revocable Trust	
0000921895-22-001034	6060112	Common Units no par value	F1	02-APR-2020				4	P	0	F2			5061.0		5.08	F4	A		8066.0				I		By Gordon A Walker Jr Revocable Trust	
0000921895-22-001034	6060111	Common Units no par value	F1	01-APR-2020				4	P	0	F2			3005.0		5.23	F3	A		3005.0				I		By Gordon A Walker Jr Revocable Trust	
0001209191-22-021869	6060448	2020 Annual Restricted Stock Units		28-MAR-2022				4	A	0				19.47			F1, F2	A		1539.26				D			
0001209191-22-021869	6060449	2021 Annual Restricted Stock Units		28-MAR-2022				4	A	0				16.84			F3, F1	A		1331.83				D			
0001567619-22-007805	6060775	Common Stock		29-MAR-2022				4	M	0				59668.0		0.0	F1	A		163044.0				D			
