ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001493152-23-046643	/s/ Jacob D. Cohen, Trustee, The Tiger Cub Trust	29-DEC-2023
0001493152-23-046643	/s/ Jacob D. Cohen	29-DEC-2023
0001415889-23-017030	/s/ Tami Chen, Attorney-in-Fact	29-DEC-2023
0001140361-23-060303	/s/ AJ Silber, as Director of BCP GP Limited	29-DEC-2023
0001140361-23-060303	/s/ AJ Silber, as Officer of Brookfield BBP Canada Holdings Inc	29-DEC-2023
0001140361-23-060303	/s/ AJ Silber, as Officer of Brookfield CanGP Ltd	29-DEC-2023
0001415889-23-017029	/s/ Tami Chen, Attorney-in-Fact	29-DEC-2023
0001140361-23-060301	/s/ AJ Silber, as Officer of Brookfield CanGP Limited, as general partner of Brookfield BBP Canadian GP L.P., as general partner of Brookfield BBP (Canada) L.P.	29-DEC-2023
0001140361-23-060301	/s/ AJ Silber, as Officer of Brookfield Capital Partners Ltd., as general partner of BCP IV Bermuda Investor LP	29-DEC-2023
0001140361-23-060301	/s/ AJ Silber, as Officer of Brookfield Capital Partners Ltd., as general partner of BCP IV (UK Plan) LP	29-DEC-2023
0001140361-23-060301	/s/ AJ Silber, as Officer of Brookfield Capital Partners Ltd., as general partner of BCP IV (Cdn Plan) LP	29-DEC-2023
0001140361-23-060301	/s/ Kristen Haase, as Officer of Brookfield Private Equity Holdings LLC, as general partner of BCP IV (US Plan) LP	29-DEC-2023
0001140361-23-060301	/s/ James Bodi, as Officer of Brookfield Business Partners Limited	29-DEC-2023
0001140361-23-060301	/s/ James Bodi, as Officer of Brookfield Business Partners Limited, as general partner of Brookfield Business Partners L.P., as general partner of Brookfield Business L.P.	29-DEC-2023
0001140361-23-060301	/s/ AJ Silber, as Director of BCP GP Limited	29-DEC-2023
0001140361-23-060301	/s/ AJ Silber, as Officer of Brookfield CanGP Limited, as general partner of Brookfield BBP Canadian GP L.P.	29-DEC-2023
0001140361-23-060301	/s/ Katayoon Sarpash, as Officer of Brookfield Private Funds Holdings Inc.	29-DEC-2023
0001140361-23-060299	/s/ James Bodi, as Officer of Brookfield Business Partners Limited, general partner of Brookfield Business Partners L.P.	29-DEC-2023
0001140361-23-060299	/s/ AJ Silber, as Officer of Brookfield Capital Partners Ltd., general partner of BPE IV (Non-Cdn) GP LP, general partner of BCP IV GrafTech Holdings LP	29-DEC-2023
0001140361-23-060299	/s/ AJ Silber, as Officer of Brookfield Capital Partners Ltd., general partner of BPE IV (Non-Cdn) GP LP	29-DEC-2023
0001140361-23-060299	/s/ AJ Silber, as Officer of Brookfield Capital Partners Ltd.	29-DEC-2023
0001140361-23-060299	/s/ Swati Mandava, as Officer of BROOKFIELD CORPORATION	29-DEC-2023
0001140361-23-060299	/s/ AJ Silber, as Director of BCP GP Limited	29-DEC-2023
