ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001628280-24-013868	2823652	Series C-2 Units		0.0		14-MAR-2024				4	J	0	F1			9529.0	F4			0.0		A			F4		F4	Class B Units		9529.0				9529.0				I		By Partnership	F4
0001628280-24-013868	2823650	Series B Preferred Units		0.0		14-MAR-2024				4	J	0	F1			5511.0	F2			0.0		A			F2		F2	Common Stock		5511.0				5511.0				I		By Partnership	F2
0001628280-24-013868	2823651	Class B Units		0.0		14-MAR-2024				4	J	0	F1			5511.0	F3			0.0		A			F3		F3	Common Stock		5511.0				5511.0				I		By Partnership	F3
0001493152-24-012080	2675450	Class B Ordinary Shares			F1	27-MAR-2024				4	J	0	F2			1071918.0				0.0		D			F2		F2	Class A Ordinary Shares		1071918.0				2130693.0				D	F4		
0001493152-24-012080	2675451	Class B Ordinary Shares			F1	27-MAR-2024				4	M	0	F3			2130693.0				0.0		D			F3		F3	Class A Ordinary Shares		2130693.0				0.0				D	F4		
0001493152-24-012082	3284012	Class B Ordinary Shares			F1	27-MAR-2024				4	M	0	F3			2130693.0				0.0		D			F3		F3	Class A Ordinary Shares		2130693.0				0.0				I		See Footnote	F4
0001493152-24-012081	2770421	Class B Ordinary Shares			F1	27-MAR-2024				4	M	0	F3			2130693.0				0.0		D			F3		F3	Class A Ordinary Shares		2130693.0				0.0				I		See Footnote	F4
0001493152-24-012081	2770420	Class B Ordinary Shares			F1	27-MAR-2024				4	J	0	F2			1071918.0				0.0		D			F2		F2	Class A Ordinary Shares		1071918.0				2130693.0				I		See Footnote	F4
0001493152-24-012082	3284011	Class B Ordinary Shares			F1	27-MAR-2024				4	J	0	F2			1071918.0				0.0		D			F2		F2	Class A Ordinary Shares		1071918.0				2130693.0				I		See Footnote	F4
0001140361-24-016726	2697428	Series A-3 Redeemable Convertible Preferred Stock			F6	27-MAR-2024				4	A	0				6376.0					F5	A			F7		F9, F8	Common Stock			F7			6376.0				I		See footnotes	F3, F4, F2, F1
0001628280-24-013864	3224778	Series C-2 Units		0.0		14-MAR-2024				4	J	0	F1			1640350.0	F1			0.0		D			F4		F4	Class B Units		1640350.0				1290214.0				I		By LLC	F4
0001628280-24-013864	3224777	Class B Units		0.0		14-MAR-2024				4	J	0	F1			948588.0	F1			0.0		D			F3		F3	Common Stock		948588.0				746086.0				I		By LLC	F3
