ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001520138-21-000833	2223542	Options (right to buy)		8.0		28-DEC-2021				4	A	0	F1			63000.0				0.0		A			F2	28-DEC-2026		Common Stock		63000.0				63000.0				D			
0001520138-21-000831	2223522	Options (right to buy)		8.0		28-DEC-2021				4	A	0	F1			230000.0				0.0		A			F2	28-DEC-2026		Common Stock		230000.0				230000.0				D			
0001371285-21-000326	2223533	Restricted Stock Unit (RSU)			F1	25-NOV-2021				4	M	0				1219.0				0.0		D			F4	25-FEB-2022		Common Stock		1219.0				2440.0				D			
0001520138-21-000829	2223541	Options (right to buy)		8.0		28-DEC-2021				4	A	0	F1			78500.0				0.0		A			F2	28-DEC-2026		Common Stock		78500.0				78500.0				D			
0001520138-21-000827	2223531	Options (right to buy)		8.0		28-DEC-2021				4	A	0	F1			221000.0				0.0		A			F2	28-DEC-2026		Common Stock		221000.0				221000.0				D			
0000899243-21-050133	2223536	Employee Stock Option (right to buy)		2.23		28-DEC-2021				4	M	0				7438.0				0.0		D			F4	31-JAN-2029		Common Stock		7438.0				169500.0				D			
0001209191-21-071650	2223524	Stock Option (Right to Buy)		15.96		28-DEC-2021				4	M	0				8575.0				0.0		D			F2	26-JUN-2024		Ordinary Shares		8575.0				56365.0				D			
0001437749-21-029536	2223527	Non-Qualified Stock Options		61.4		29-DEC-2021				4	M	0				9598.0	F4			0.0		D		01-JUN-2021		01-JUN-2024		Common Stock		9598.0				3200.0				D			
0001437749-21-029536	2223528	Non-Qualified Stock Options		53.4		29-DEC-2021				4	M	0				7275.0	F4			0.0		D		27-FEB-2021		25-FEB-2026		Common Stock		7275.0				21828.0				D			
0001104659-21-154851	2223505	Restricted Stock Units			F1	28-DEC-2021				4	A	0				21621.0				0.0		A			F2		F2	Class A common stock		21621.0				21621.0				D			
