ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001493152-24-038908	2649189	Option (Right to Buy)		4.0		27-SEP-2024				4	A	0				250000.0				0.0		A			F1	27-SEP-2034		Common Stock		250000.0				250000.0				D			
0000950170-24-110521	3218515	2019 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				6.28				0.0		A			F2		F2	Class A Common Stock		6.28				730.52				D			
0000950170-24-110521	3218519	2023 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				17.02				0.0		A			F6		F6	Class A Common Stock		17.02				1979.99				D			
0000950170-24-110521	3218518	2022 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				19.82				0.0		A			F5		F5	Class A Common Stock		19.82				2306.02				D			
0000950170-24-110521	3218517	2021 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				9.43				0.0		A			F4		F4	Class A Common Stock		9.43				1097.49				D			
0000950170-24-110521	3218516	2020 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				7.27				0.0		A			F3		F3	Class A Common Stock		7.27				846.22				D			
0000950170-24-110518	2844202	2019 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				23.53				0.0		A			F2		F2	Class A Common Stock		23.53				2737.65				D			
0000950170-24-110518	2844203	2020 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				24.24				0.0		A			F3		F3	Class A Common Stock		24.24				2820.73				D			
0000950170-24-110518	2844204	2021 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				34.54				0.0		A			F4		F4	Class A Common Stock		34.54				4018.41				D			
0000950170-24-110518	2844205	2022 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				65.51				0.0		A			F5		F5	Class A Common Stock		65.51				7621.84				D			
